date,source,universe_size,spx_close,up_4pct,down_4pct,ratio_5d,ratio_10d,up_25pct_qtr,down_25pct_qtr,up_25pct_month,down_25pct_month,up_50pct_month,down_50pct_month,up_13pct_34d,down_13pct_34d,t2108,pct_above_200sma,pct_above_50sma,pct_above_20sma,advances,declines,new_highs,new_lows,net_advances,rana,ad_line,mcclellan_osc
2024-12-20,backfill,2610,5930.85009765625,330,134,0.464,0.5463,365,355,161,149,72,32,509.0,610.0,29.62,47.62,31.57,20.77,1747,783,57,103,964,381.03,-7568,-45.76
2024-12-23,backfill,2611,5974.06982421875,216,234,0.4661,0.5109,360,356,157,162,71,27,490.0,619.0,29.45,47.07,31.87,20.8,1166,1356,41,101,-190,-75.34,-7758,-40.95
2024-12-24,backfill,2611,6040.0400390625,272,76,0.5605,0.5856,394,330,165,150,76,25,474.0,618.0,33.51,48.33,35.96,26.66,1880,618,56,50,1262,505.2,-6496,-7.6
2024-12-26,backfill,2611,6037.58984375,359,77,1.706,0.6643,384,339,168,139,76,17,428.0,672.0,36.88,49.79,39.18,31.71,1710,801,85,28,909,362.01,-5587,13.78
2024-12-27,backfill,2612,5970.83984375,159,225,1.7909,0.7142,354,361,175,130,85,17,389.0,705.0,32.77,48.43,35.3,27.22,580,1933,43,66,-1353,-538.4,-6940,-13.02
2024-12-30,backfill,2613,5906.93994140625,207,258,1.3943,0.7356,357,378,168,155,93,19,376.0,708.0,30.08,47.46,32.3,25.91,797,1748,66,100,-951,-373.67,-7891,-27.63
2024-12-31,backfill,2613,5881.6298828125,184,222,1.3765,0.7336,375,342,148,170,72,21,356.0,716.0,31.27,48.11,33.64,27.94,1416,1094,40,46,322,128.29,-7569,-14.89
2025-01-02,backfill,2614,5868.5498046875,429,124,1.4768,0.8554,390,322,160,134,77,18,396.0,616.0,32.9,47.9,35.39,34.81,1280,1257,64,48,23,9.07,-7546,-9.88
2025-01-03,backfill,2615,5942.47021484375,436,110,1.5069,1.5978,430,306,172,99,95,16,444.0,500.0,37.97,50.17,39.69,43.33,1851,685,79,36,1166,459.78,-6380,16.98
2025-01-06,backfill,2615,5975.3798828125,304,206,1.6957,1.7383,418,311,187,107,102,17,499.0,438.0,39.39,49.79,39.96,44.28,1189,1346,77,43,-157,-61.93,-6537,13.78
2025-01-07,backfill,2616,5909.02978515625,147,313,1.5385,1.4705,412,320,183,92,96,18,531.0,405.0,37.65,48.47,38.42,42.97,887,1642,46,61,-755,-298.54,-7292,-0.85
2025-01-08,backfill,2616,5918.25,89,500,1.1213,1.225,391,328,139,134,66,20,472.0,453.0,34.82,47.06,36.31,38.49,911,1616,45,98,-705,-278.99,-7997,-12.38
2025-01-10,backfill,2616,5827.0400390625,155,510,0.6901,0.9701,381,349,130,172,60,23,418.0,594.0,29.7,43.04,30.81,29.97,540,1995,39,162,-1455,-573.96,-9452,-36.93
2025-01-13,backfill,2616,5836.22021484375,177,429,0.4454,0.7894,357,362,113,183,52,27,369.0,573.0,28.21,43.46,29.2,30.01,1290,1236,36,103,54,21.38,-9398,-27.97
2025-01-14,backfill,2616,5842.91015625,257,259,0.4102,0.8137,333,389,100,160,46,27,343.0,561.0,29.28,45.53,30.96,36.62,1623,909,52,89,714,281.99,-8684,-7.13
2025-01-15,backfill,2617,5949.91015625,471,111,0.6352,0.9515,373,371,137,113,58,24,365.0,553.0,36.03,47.92,36.34,49.52,1944,598,95,54,1346,529.5,-7338,23.1
2025-01-16,backfill,2618,5937.33984375,207,172,0.8555,0.9773,374,364,126,104,61,20,336.0,636.0,38.43,48.66,38.16,53.44,1358,1143,97,46,215,85.97,-7123,26.65
2025-01-17,backfill,2618,5996.66015625,223,130,1.2125,0.9,360,382,151,109,62,21,345.0,547.0,41.48,49.92,40.68,59.63,1524,1002,110,48,522,206.65,-6601,35.58
2025-01-21,backfill,2618,6049.240234375,369,177,1.7986,0.8546,402,363,164,99,64,16,377.0,515.0,49.12,51.8,47.17,64.82,1826,707,169,38,1119,441.77,-5482,54.8
2025-01-22,backfill,2620,6086.3701171875,197,242,1.7632,0.8062,389,395,224,78,66,15,360.0,588.0,44.73,50.61,44.39,58.47,872,1653,99,72,-781,-309.31,-6263,33.41
