as_of,ticker,ep_date,days_since,stage,held,near,contracting,breakout,close,vs_ep_close_pct,ep_range_pct,recent_range_pct,base_high,today_change_pct,today_relvol,ep_change,ep_relvol
2026-08-14,GDRX,2026-08-06,6,basing,True,True,True,False,3.7300000190734863,0.002688169458695544,0.1586021262450721,0.05771940112075631,3.890000104904175,0.002688169458695544,1.4014308027887448,0.1376,3.36
2026-08-14,HRTG,2026-08-06,6,basing,True,True,True,False,33.959999084472656,-0.03550127896911082,0.15194548482192483,0.031810592858463785,34.810001373291016,0.020739363306740533,0.7250426794569547,0.1647,3.3
2026-08-14,KRO,2026-08-06,6,basing,True,True,True,False,8.470000267028809,0.02916169357735665,0.19684088122756316,0.07050540656010082,8.859999656677246,-0.020809174501680294,0.9079167492970065,0.3253,4.2
2026-08-14,ALTI,2026-08-05,7,basing,True,False,True,False,4.010000228881836,-0.1320345609929443,0.2316017744948261,0.05457482431985751,4.619999885559082,-0.042959385651662796,0.6480872880241882,0.2419,9.58
2026-08-14,BVS,2026-08-05,7,basing,True,True,True,False,14.260000228881836,-0.06553079849286958,0.21055041256100296,0.032675468557418,15.020000457763672,0.026637860072980413,0.6627929518649893,0.1371,3.28
2026-08-14,CRCT,2026-08-05,7,basing,True,True,True,False,5.760000228881836,-0.05107082932663132,0.18286657366116582,0.04391735563444113,6.130000114440918,-0.028667724178402687,0.8417545048475485,0.2287,5.12
2026-08-14,FRPT,2026-08-05,7,basing,True,True,True,False,72.76000213623047,0.018049543773530186,0.12718628532291115,0.041540020585659775,73.66999816894531,0.00041246772875358495,0.7082792793537209,0.1457,4.76
2026-08-14,GERN,2026-08-05,7,basing,True,True,True,False,1.4700000286102295,-0.0981594890119386,0.1656441605621881,0.06442358977045436,1.649999976158142,-0.04545450323165556,0.904712182526287,0.2164,3.42
2026-08-14,GSM,2026-08-05,7,basing,True,True,True,False,4.389999866485596,0.05783126881998668,0.09397586928273696,0.03735578173660026,4.71999979019165,0.00228304835237525,0.6870822639592988,0.2135,3.45
2026-08-14,HY,2026-08-05,7,basing,True,False,True,False,34.439998626708984,-0.14899931831258229,0.1803805044939338,0.03883021309676234,40.61000061035156,0.0014538888615274193,0.8868135533363417,0.152,3.43
2026-08-14,EWTX,2026-08-04,8,basing,True,True,True,False,44.16999816894531,-0.011967422887738888,0.09931771490555456,0.04263826900054755,45.93000030517578,0.022927231513957702,0.5516799393357205,0.1648,3.58
2026-08-14,IBTA,2026-08-04,8,basing,True,True,True,False,38.84000015258789,0.04017139780049095,0.201660435347471,0.05534294491648023,39.90999984741211,0.01728653331945207,1.184012987919838,0.5191,5.35
2026-08-14,AMBA,2026-07-31,10,basing,True,True,True,False,82.04000091552734,-0.04604650098224017,0.20081391445426053,0.04108917799527502,89.44000244140625,0.0009761082472954374,0.29970222494350646,0.1608,4.47
2026-08-14,CSHR,2026-07-31,10,basing,True,True,True,False,5.21999979019165,0.065306058897173,0.18775511395678007,0.06344194023238067,5.460000038146973,0.041916078186823524,0.3760256324931783,0.1475,8.18
2026-08-14,ITGR,2026-07-31,10,basing,True,True,True,False,125.26000213623047,0.03341311015880222,0.19783849136259501,0.003149685343888513,126.13999938964844,0.0015992690032078372,0.3985920091329137,0.2018,4.42
2026-08-14,CORT,2026-07-30,11,basing,True,True,True,False,114.47000122070312,-0.03253886480773471,0.14756591556377788,0.03295089744295927,118.52999877929688,0.035833852211775374,0.634055449623516,0.2729,3.33
2026-08-14,ALVO,2026-07-29,12,basing,True,False,True,False,4.054999828338623,0.14872517314558475,0.1501416361714893,0.05204465325988903,4.139999866485596,-0.008557536172002722,0.6543188058466273,0.1387,4.23
2026-08-14,CAKE,2026-07-29,12,basing,True,False,True,False,113.37999725341797,0.1210203474158047,0.09175399283467538,0.044067944962757385,118.45999908447266,0.013407222352735504,0.8549728445349627,0.1363,3.21
2026-08-14,EXLS,2026-07-29,12,basing,True,True,True,False,34.81999969482422,-0.03250908388655627,0.1430953399749411,0.02695395338185345,36.18000030517578,-0.015549879945423006,0.47606125762688806,0.1788,3.1
2026-08-14,GRMN,2026-07-29,12,basing,True,True,True,False,310.20001220703125,0.05213182625505519,0.14571106539920498,0.016972672781321065,314.2799987792969,-0.005546053631810044,0.530417745827186,0.1623,3.36
2026-08-14,HURN,2026-07-29,12,basing,True,False,True,False,151.8699951171875,-0.10858719569296771,0.24746134654943752,0.0421508418669464,171.66000366210938,-0.022149265955067943,0.3485963068608317,0.4037,4.48
2026-08-14,FSUN,2026-07-28,13,basing,True,True,True,False,41.11000061035156,0.04499238563544439,0.11527706735694522,0.019670845134684825,41.099998474121094,0.00562621174723299,0.7252314740136142,0.1301,3.74
2026-08-14,ITRI,2026-07-28,13,basing,True,True,True,False,101.55999755859375,-0.0510184942603098,0.1588488182885903,0.02086926438192827,107.0,-0.011292870408139977,0.5187563008622047,0.2623,7.1
2026-08-14,KNSA,2026-07-28,13,basing,True,True,True,False,76.75,-0.03386206393171187,0.18400055318871034,0.03326879836881196,82.94000244140625,-0.013876420475988693,0.5012310283745208,0.2503,3.75
2026-08-14,FBRX,2026-07-27,14,basing,True,True,True,False,76.83000183105469,0.004313749425551405,0.002875832950367647,0.001080378785065356,77.19999694824219,-0.00039030417718777244,0.3693835168445515,0.3965,9.79
2026-08-14,HTZ,2026-08-06,6,drifting,True,False,False,False,2.240000009536743,0.10891090628096056,0.2772277560774903,0.2174540036605602,2.944999933242798,-0.0447761269903757,1.0675650042234328,0.2949,5.17
2026-08-14,FTK,2026-08-05,7,drifting,True,True,False,False,35.83000183105469,-0.006653669692266995,0.12947042440966317,0.08428718841619272,39.66999816894531,0.04126713135540383,1.8021318273168994,0.2786,3.4
2026-08-14,ATKR,2026-08-03,9,drifting,True,True,False,False,93.80000305175781,0.002672367630620842,0.003206792224232261,0.002345080666301339,94.13999938964844,-0.0003197141501807277,1.061793501457184,0.2822,11.46
2026-08-14,BSBR,2026-07-31,10,drifting,True,True,False,False,5.769999980926514,0.01763666724638413,0.0335097098172612,0.020484359115379647,5.909999847412109,0.0,2.7073983562516704,0.1228,5.18
2026-08-14,AEVA,2026-08-06,6,failed,False,True,True,False,23.280000686645508,-0.0783847792674377,0.22446555918122946,0.10822157469441977,28.299999237060547,0.03835863547836893,0.7018224005972056,0.2881,4.78
2026-08-14,ASPN,2026-08-06,6,failed,False,False,True,False,5.849999904632568,-0.150943393614825,0.2452831011330108,0.05553149744040896,7.130000114440918,-0.03624386504236188,0.6744991903096685,0.3752,8.88
2026-08-14,CDRE,2026-08-06,6,failed,False,True,True,False,34.13999938964844,-0.025128528172824294,0.10936601845498663,0.02852864789137134,35.04999923706055,0.007079582683390706,0.6256972401416306,0.1286,3.86
2026-08-14,HNST,2026-08-06,6,failed,False,False,True,False,4.840000152587891,-0.10701105452799986,0.1845018424213333,0.05327598537339453,5.789999961853027,-0.03777336964121081,1.1719500579013509,0.4078,9.35
2026-08-14,INSM,2026-08-06,6,failed,False,True,True,False,123.73999786376953,-0.06646552233233949,0.08713689291921982,0.0397541848140162,135.5,-0.02050189131437563,0.5113397666208938,0.3386,3.92
