date,class,title,subtitle,audience,likes,comments,url
2025-10-26,C · Focus Stocks 预告帖,Avoiding Assumptions,The TSF - Focus Stocks Page Will Be Updated Tonight,only_paid,21,3,https://thesetupfactory.substack.com/p/avoiding-assumptions
2025-10-23,G · 周末宏观大稿,"The Wyckoff Concepts Of Accumulation, Distribution And Test Of Supply",On Sunday I Told You To Go Fishing,only_paid,20,10,https://thesetupfactory.substack.com/p/the-wyckoff-concepts-of-accumulation
2025-10-21,G · 周末宏观大稿,Wide And Loose,Yesterday We Saw A Nice Push Up,only_paid,11,0,https://thesetupfactory.substack.com/p/wide-and-loose
2025-10-19,B · TSF Focus Stocks,TSF - Focus Stocks 19/10 - 2025,,only_paid,4,6,https://thesetupfactory.substack.com/p/tsf-focus-stocks-1910-2025
2025-10-19,C · Focus Stocks 预告帖,Time To Go Fishing,The TSF - Focus Stocks Page Will Be Updated Tonight,only_paid,20,4,https://thesetupfactory.substack.com/p/time-to-go-fishing
2025-10-17,D · Community Meeting,TSF - Community Meeting,We Were Gapping Down And Pre-Market Looked Pretty Ugly,everyone,21,0,https://thesetupfactory.substack.com/p/tsf-community-meeting-17e
2025-10-16,G · 周末宏观大稿,Stocks Unaffected By Market Weakness,On Thursdays We go Through The Weeks Focus Stocks,only_paid,10,0,https://thesetupfactory.substack.com/p/stocks-unaffected-by-market-weakness
2025-10-14,G · 周末宏观大稿,After An Oversold Bounce Comes A New Test Of Supply,Before We Start — Three 20+% Setups In One Day,only_paid,13,2,https://thesetupfactory.substack.com/p/after-an-oversold-bounce-comes-a
2025-10-13,B · TSF Focus Stocks,TSF - Focus Stocks 13/10-2025,,only_paid,6,4,https://thesetupfactory.substack.com/p/tsf-focus-stocks-1310-2025
2025-10-12,C · Focus Stocks 预告帖,Reset Of The Market Cycle,The TSF - Focus Stocks Page Will Be Updated Tomorrow,only_paid,17,0,https://thesetupfactory.substack.com/p/reset-of-the-market-cycle
2025-10-09,G · 周末宏观大稿,Being In The Right Universe Of Stocks Makes All The Difference,Before We Start Lets Admire TEM,only_paid,8,2,https://thesetupfactory.substack.com/p/being-in-the-right-universe-of-stocks
2025-10-07,G · 周末宏观大稿,I Recommend Catching Your Breath,Before We Start Lets Admire SLDP & AAOI,only_paid,12,2,https://thesetupfactory.substack.com/p/i-recommend-catching-your-breath
2025-10-05,B · TSF Focus Stocks,TSF - Focus Stocks 5/10-2025,,only_paid,5,4,https://thesetupfactory.substack.com/p/tsf-focus-stocks-510-2025
2025-10-05,C · Focus Stocks 预告帖,Time To Pay Attention,The TSF - Focus Stocks Page Will Be Updated Tonight,only_paid,15,5,https://thesetupfactory.substack.com/p/time-to-pay-attention
2025-10-02,G · 周末宏观大稿,Participating In The Melt Up,This Was Our Assessment Of Stocks Behavior,only_paid,5,0,https://thesetupfactory.substack.com/p/participating-in-the-melt-up
2025-09-30,G · 周末宏观大稿,Flashback To April,Before We Start — SNDK Is Getting Ridiculous,only_paid,7,2,https://thesetupfactory.substack.com/p/flashback-to-april
2025-09-28,B · TSF Focus Stocks,TSF Focus Stocks — 28/9-2025 ,,only_paid,10,1,https://thesetupfactory.substack.com/p/tsf-focus-stocks-289-2025
2025-09-28,C · Focus Stocks 预告帖,A Fearless Decline,The TSF - Focus Stocks Will Be Updated Tonight,only_paid,21,0,https://thesetupfactory.substack.com/p/a-fearless-decline
2025-09-26,D · Community Meeting,TSF - Community Meeting,Lets Go Through What happened Yesterday,only_paid,11,0,https://thesetupfactory.substack.com/p/tsf-community-meeting
2025-09-25,E · TSF 教学/模型,TSF - 10 Core Concepts To Develop A Profitable Trading Framework And Process,Before We Start — The Chart Will Tell You The Story Before The Story Pops — LAC,only_paid,30,11,https://thesetupfactory.substack.com/p/tsf-10-core-concepts-to-develop-a
2025-09-23,G · 周末宏观大稿,Pump It,Before We Start We Need To Admire Two Stocks,only_paid,7,1,https://thesetupfactory.substack.com/p/pump-it
2025-09-21,B · TSF Focus Stocks,TSF - Focus Stocks 21/9-2025,,only_paid,5,14,https://thesetupfactory.substack.com/p/tsf-focus-stocks-219-2025
2025-09-21,C · Focus Stocks 预告帖,Party Like It's '99,The TSF - Focus Stocks Page Will Be Updated Tonight,only_paid,15,0,https://thesetupfactory.substack.com/p/party-like-its-99
2025-09-18,G · 周末宏观大稿,Impressive Amount Of Opportunities,Before We Start Lets Admire AMPX,only_paid,14,0,https://thesetupfactory.substack.com/p/impressive-amount-of-opportunities
2025-09-16,G · 周末宏观大稿,Situational Awareness Is Key,Before We Start Let’s Admire LAC,only_paid,12,0,https://thesetupfactory.substack.com/p/situational-awareness-is-key
2025-09-14,B · TSF Focus Stocks,TSF Focus Stocks — 14/9-2025,"Levels, Entries And Stop Losses Annotated In the Charts",only_paid,7,2,https://thesetupfactory.substack.com/p/tsf-focus-stocks-149-2025
2025-09-14,C · Focus Stocks 预告帖,Follow The Smart Money Capital Flow ,The TSF - Focus Stocks Page Will Be Updated Tonight,everyone,12,1,https://thesetupfactory.substack.com/p/follow-the-smart-money-capital-flow
2025-09-12,G · 周末宏观大稿,Re-Investing In The TSF - Community ,Planning Big New Feature — If You Want It,only_paid,6,17,https://thesetupfactory.substack.com/p/re-investing-in-the-tsf-community
2025-09-11,G · 周末宏观大稿,Delicate Spot,The Market Might Be Ignoring Reality,only_paid,11,0,https://thesetupfactory.substack.com/p/delicate-spot
2025-09-09,G · 周末宏观大稿,Nothing Beats A Community Win,Before We Start Lets Admire ALAB,only_paid,10,10,https://thesetupfactory.substack.com/p/nothing-beats-a-community-win
2025-09-07,B · TSF Focus Stocks,TSF - Focus Stocks 7/9 - 2025,,only_paid,6,2,https://thesetupfactory.substack.com/p/tsf-focus-stocks-79-2025
2025-09-07,C · Focus Stocks 预告帖,Wall Of Worry,The TSF - Focus Stocks Page Will Be Updated Tonight,everyone,7,4,https://thesetupfactory.substack.com/p/wall-of-worry
2025-09-05,G · 周末宏观大稿,The Weekly Close Is What Matters,Before We Start Lets Admire SNDK,only_paid,7,0,https://thesetupfactory.substack.com/p/the-weekly-close-is-what-matters
2025-09-03,G · 周末宏观大稿,The Hunt For Relative Strength,Before We Start,only_paid,5,0,https://thesetupfactory.substack.com/p/the-hunt-for-relative-strength
2025-09-02,E · TSF 教学/模型,TSF - Discord Is Here,,only_paid,8,11,https://thesetupfactory.substack.com/p/tsf-discord-is-here
2025-09-01,B · TSF Focus Stocks,TSF - Focus Stocks 1/9-2025,,only_paid,2,0,https://thesetupfactory.substack.com/p/tsf-focus-stocks-19-2025
2025-08-31,C · Focus Stocks 预告帖,Bear Trap Or The Start Of Something Ugly?,The TSF - Focus Stocks Page Will Be Updated Tomorrow,only_paid,15,0,https://thesetupfactory.substack.com/p/bear-trap-or-the-start-of-something
2025-08-28,G · 周末宏观大稿,Focusing On The Leaders,Before We Start Lets Admire Richtec Robotics,only_paid,7,5,https://thesetupfactory.substack.com/p/focusing-on-the-leaders
2025-08-26,G · 周末宏观大稿,Big Movers Are Brewing,Before We Start Lets Admire AEHR,only_paid,5,2,https://thesetupfactory.substack.com/p/big-movers-are-brewing
2025-08-24,B · TSF Focus Stocks,TSF - Focus Stocks 24/8,,only_paid,6,4,https://thesetupfactory.substack.com/p/tsf-focus-stocks-248
2025-08-24,C · Focus Stocks 预告帖,History Often Rhymes,The TSF - Focus Stocks Page Will Be Updated Tonight,only_paid,7,6,https://thesetupfactory.substack.com/p/history-often-rhymes
2025-08-21,G · 周末宏观大稿,A Market That Will Chop You Into Pieces,Going Into This Week We Were Expecting Volatility And I Advised Caution,only_paid,8,2,https://thesetupfactory.substack.com/p/a-market-that-will-chop-you-into
2025-08-19,G · 周末宏观大稿,This Is A Strange Post,But Before We Start Lets Admire APLD,only_paid,13,13,https://thesetupfactory.substack.com/p/this-is-a-strange-post
2025-08-17,C · Focus Stocks 预告帖,The Market Cycle Needs To Reset,The TSF - Focus Stocks Page Will Be Updated Tonight,everyone,11,6,https://thesetupfactory.substack.com/p/the-market-cycle-needs-to-reset
2025-08-16,G · 周末宏观大稿,How We Handled The 2025 Bear Market And Recovery,After Making A Roundtrip Back To ATH — Lets Digest This For A Moment By Looking At The Setup Factory´s Positioning During This Journey,everyone,1,0,https://thesetupfactory.substack.com/p/how-we-handled-the-2025-bear-market
2025-08-14,E · TSF 教学/模型,TSF - Guide For Mastering Stop Loss Placement & Assessing Extension,Since We Already Have Too Many Setups This Week,only_paid,16,6,https://thesetupfactory.substack.com/p/tsf-guide-for-mastering-stop-loss
2025-08-12,G · 周末宏观大稿,This Market Needs A Sniper,Because If You Chase Or Aren’t Precise With Your Entries,only_paid,11,2,https://thesetupfactory.substack.com/p/this-market-needs-a-sniper
2025-08-10,C · Focus Stocks 预告帖,A Split Market,The TSF - Focus Stocks Page Will Be Updated Tonight,everyone,14,2,https://thesetupfactory.substack.com/p/a-split-market
2025-08-09,E · TSF 教学/模型,TSF - Model Book Stocks,I Like Less Talking And More Actual Facts,only_paid,6,0,https://thesetupfactory.substack.com/p/tsf-model-book-stocks-baf
2025-08-07,G · 周末宏观大稿,The Stubborn Bull,Before We Start Lets Admire ALAB,only_paid,12,4,https://thesetupfactory.substack.com/p/the-stubborn-bull
2025-08-06,G · 周末宏观大稿,Help Me Streamline The Content You Receive - So You Can Get What You Want ,,only_paid,8,9,https://thesetupfactory.substack.com/p/help-me-streamline-the-content-you
2025-08-05,G · 周末宏观大稿,Earnings Gaps Special - Put These Stocks On Your Watchlist Immediately ,Before We Start Lets Admire JOBY,only_paid,4,0,https://thesetupfactory.substack.com/p/earnings-gaps-special-put-these-stocks
2025-08-03,G · 周末宏观大稿,Blocking Out The Noise Is Key,You Should Block Out The Noise,only_paid,16,0,https://thesetupfactory.substack.com/p/blocking-out-the-noise-is-key
2025-07-31,G · 周末宏观大稿,Tuesday Despair -> Wednesday Euphoria ,On Tuesday We Saw An Aggressive Selloff In Growth And Momentum Stocks,everyone,7,0,https://thesetupfactory.substack.com/p/tuesday-despair-wednesday-euphoria
2025-07-29,G · 周末宏观大稿,Semis Leading And Growth Stocks Basing,Today We Are Going To Do Three Things,only_paid,8,0,https://thesetupfactory.substack.com/p/semis-leading-and-growth-stocks-basing
2025-07-27,C · Focus Stocks 预告帖,The Trend Is Your Friend Until It Ends,The TSF - Focus Stocks Page Will Be Updated Tonight,only_paid,14,0,https://thesetupfactory.substack.com/p/the-trend-is-your-friend-until-it
2025-07-25,G · 周末宏观大稿,Portfolio Update And Some Thoughts,Still A Tricky Market With Poor Followthrough,everyone,17,0,https://thesetupfactory.substack.com/p/portfolio-update-and-some-thoughts
2025-07-23,G · 周末宏观大稿,A Lot Of Setups And One Future Market Leader,Before We Start Lets Admire NVTS,only_paid,7,4,https://thesetupfactory.substack.com/p/a-lot-of-setups-and-one-future-market
2025-07-21,G · 周末宏观大稿,Too Many A+ Setups To Wait For Tuesday -- High Octane Special,Our Normal Schedule Is A Setups Post On Tuesday,only_paid,4,4,https://thesetupfactory.substack.com/p/too-many-a-setups-to-wait-for-tuesday
2025-07-20,G · 周末宏观大稿,Complacency With Conviction,Every Once In A While I Make The Market Analysis A Free Post,everyone,15,4,https://thesetupfactory.substack.com/p/complacency-with-conviction
2025-07-19,G · 周末宏观大稿,15 Stocks For The Future,Since The Momentum Leaders Portfolio Is About the Bigger Picture,founding,4,2,https://thesetupfactory.substack.com/p/15-stocks-for-the-future
2025-07-18,G · 周末宏观大稿,The TSF - Guide To Buying Earnings Gaps & Powerful Gap Ups Part I,Since Earnings Season Is Upon Us,only_paid,16,2,https://thesetupfactory.substack.com/p/the-tsf-guide-to-buying-earnings
2025-07-15,G · 周末宏观大稿,Friday Despair → Monday Euphoria,I Want To Start With A Quick Note About The Momentum Leaders Portfolio,only_paid,4,0,https://thesetupfactory.substack.com/p/friday-despair-monday-euphoria
2025-07-13,C · Focus Stocks 预告帖,The Direction Of The Pain Trade Is Shifting,The TSF - Focus Stocks Page Will Be Updated Tonight,only_paid,6,2,https://thesetupfactory.substack.com/p/the-direction-of-the-pain-trade-is
2025-07-10,G · 周末宏观大稿,Today Is A Different Type Of Post,Because We Already Have Too Many Great Setups,only_paid,8,0,https://thesetupfactory.substack.com/p/today-is-a-different-type-of-post
2025-07-08,G · 周末宏观大稿,Two New Themes To Watch And A lot Of Stocks,How This Publication Is Structured — For Those That Are New,only_paid,6,2,https://thesetupfactory.substack.com/p/two-new-themes-to-watch-and-a-lot
2025-07-06,C · Focus Stocks 预告帖,Increasing Complacency,The TSF - Focus Stocks Page Will Be Updated Tonight,everyone,11,2,https://thesetupfactory.substack.com/p/increasing-complacency
2025-07-03,G · 周末宏观大稿,High Octane Special,Earlier This Week We Saw A Brutal Sector Rotation,only_paid,5,0,https://thesetupfactory.substack.com/p/high-octane-special
2025-07-01,G · 周末宏观大稿,I Have Nagged About HOOD For So Long,Before We Start And Look At Some Great Setups — Lets Admire HOOD,only_paid,5,0,https://thesetupfactory.substack.com/p/i-have-nagged-about-hood-for-so-long
2025-06-29,C · Focus Stocks 预告帖,Blue Skies?,The TSF - Focus Stocks Page Will Be Updated Tonight,everyone,6,0,https://thesetupfactory.substack.com/p/blue-skies
2025-06-26,G · 周末宏观大稿,Caution Is Warranted,Today I Want To Highlight Some Important Observations,only_paid,8,0,https://thesetupfactory.substack.com/p/caution-is-warranted
2025-06-24,G · 周末宏观大稿,A Market Health Check Reviewing The Leaders,Yesterday We Saw Pretty Aggressive Shakeouts In Most Growth Stocks,everyone,6,4,https://thesetupfactory.substack.com/p/a-market-health-check-reviewing-the
2025-06-23,G · 周末宏观大稿,Update,,founding,1,2,https://thesetupfactory.substack.com/p/update
2025-06-22,A · Momentum Leaders Portfolio,The Momentum Leaders Portfolio - Current Holdings,The Momentum Leaders Portfolio,founding,22,0,https://thesetupfactory.substack.com/p/the-momentum-leaders-portfolio-current
