date,close,sma21,cycle
2015-01-09,94.2672119140625,94.55138360886346,-1
2015-01-12,93.28428649902344,94.49117206391834,-2
2015-01-13,93.25672149658203,94.40829358782086,-3
2015-01-14,92.74232482910156,94.35016595749627,-4
2015-01-15,91.53894805908203,94.28092956542969,-5
2015-01-16,92.61369323730469,94.33390808105469,-6
2015-01-20,93.34861755371094,94.34256526402065,-7
2015-01-21,93.8262710571289,94.26719592866444,-8
2015-01-22,95.5624008178711,94.25450933547248,1
2015-01-23,95.77371215820312,94.24051084972564,2
2015-01-26,95.66348266601562,94.2374496459961,3
2015-01-27,93.18324279785156,94.11234501429966,-1
2015-01-28,92.70556640625,93.93212381998698,-2
2015-01-29,93.59660339355469,93.79520706903367,-3
2015-01-30,92.87092590332031,93.65435500372024,-4
2015-02-02,93.67928314208984,93.5988010224842,1
2015-02-03,94.57952880859375,93.59967549641927,2
2015-02-04,94.49684143066406,93.66266523088727,3
2015-02-05,95.31441497802734,93.82407924107143,4
2015-02-06,94.73567199707031,93.90150415329705,5
2015-02-09,94.43254852294922,93.87963322230748,6
2015-02-10,95.9023208618164,93.9574955531529,7
2015-02-11,96.25138854980469,94.09878612699963,8
2015-02-12,97.37208557128906,94.29475584484283,9
2015-02-13,98.2079849243164,94.55502537318638,10
2015-02-17,98.29988861083984,94.87697492327008,11
2015-02-18,98.43766021728516,95.15430668422154,12
2015-02-19,98.92453002929688,95.4198263259161,13
2015-02-20,99.5859146118164,95.69409506661552,14
2015-02-23,99.68692779541016,95.89050111316499,15
2015-02-24,99.76046752929688,96.0803466070266,16
2015-02-25,99.51243591308594,96.26363009498233,17
2015-02-26,100.01762390136719,96.58907681419736,18
2015-02-27,99.57672119140625,96.91627466110955,19
2015-03-02,100.4769515991211,97.24391028994606,20
2015-03-03,100.00846099853516,97.58379291352772,21
2015-03-04,99.62264251708984,97.86681002662296,22
2015-03-05,99.79718780517578,98.11526997884114,23
2015-03-06,98.66731262207031,98.31386384509858,24
2015-03-09,98.95209503173828,98.48708670479911,25
2015-03-10,97.11487579345703,98.60038212367466,-1
2015-03-11,96.55451202392578,98.70142800467355,-2
2015-03-12,97.18836212158203,98.76266806466239,-3
2015-03-13,96.76580047607422,98.78716387067523,-4
2015-03-16,98.01510620117188,98.81778390066964,-5
2015-03-17,98.1712875366211,98.81603640601749,-6
2015-03-18,99.13578796386719,98.85584113711403,1
2015-03-19,99.28275299072266,98.89608365013486,2
2015-03-20,99.9254379272461,98.94374593098958,3
2015-03-23,99.73208618164062,98.9507064819336,4
2015-03-24,99.37300872802734,98.93575795491536,5
2015-03-25,97.09882354736328,98.80901300339471,-1
2015-03-26,96.76737213134766,98.6782956804548,-2
2015-03-27,97.15409088134766,98.54193696521577,-3
2015-03-30,98.26815032958984,98.47962406703404,-4
2015-03-31,97.22772979736328,98.32489921933129,-5
2015-04-01,96.7213363647461,98.16836947486514,-6
2015-04-02,96.7857894897461,98.03328123546783,-7
2015-04-06,97.57760620117188,97.92758687337239,-8
2015-04-07,97.41188049316406,97.86780439104352,-9
2015-04-08,98.1852798461914,97.83128938220796,1
2015-04-09,98.80215454101562,97.91163598923455,2
2015-04-10,99.2072982788086,98.03795914422898,3
2015-04-13,98.95870208740234,98.12226104736328,4
2015-04-14,98.67329406738281,98.21309407552083,5
2015-04-15,99.2901382446289,98.27380988711403,6
2015-04-16,99.15206146240234,98.32051340738933,7
2015-04-17,97.60525512695312,98.24763089134579,-1
2015-04-20,99.06916046142578,98.23745981852214,1
2015-04-21,99.49270629882812,98.21685355050224,2
2015-04-22,100.03592681884766,98.23132215227399,3
2015-04-23,100.41339111328125,98.28086417061942,4
2015-04-24,101.7761001586914,98.5035916283017,5
2015-04-27,101.5182876586914,98.72982570103237,6
2015-04-28,101.31573486328125,98.92799922398159,7
2015-04-29,100.6803970336914,99.04286811465309,8
2015-04-30,99.0968017578125,99.13187154134114,-1
2015-05-01,100.4041976928711,99.30724589029948,1
2015-05-04,100.56993865966797,99.48744346981957,2
2015-05-05,98.93106842041016,99.55189405168805,-1
2015-05-06,98.24971008300781,99.59179069882347,-2
2015-05-07,98.83898162841797,99.62291935511998,-3
2015-05-08,100.07274627685547,99.6834237234933,1
2015-05-11,99.68603515625,99.70622071765717,-1
2015-05-12,99.2348861694336,99.71937234061105,-2
2015-05-13,99.43743896484375,99.7557601928711,-3
2015-05-14,100.89219665527344,99.83204868861607,1
2015-05-15,100.89219665527344,99.91491226922898,2
2015-05-18,101.33415985107422,100.0924791608538,3
2015-05-19,101.2236557006836,100.19507417224702,4
2015-05-20,101.2881088256836,100.28056953066871,5
2015-05-21,101.8128890991211,100.3651867821103,6
2015-05-22,101.71163940429688,100.42700812930153,7
2015-05-26,100.54231262207031,100.36825634184338,8
2015-05-27,102.16277313232422,100.39894612630208,9
2015-05-28,101.93260192871094,100.4283207484654,10
2015-05-29,101.3249282836914,100.45901271275112,11
2015-06-01,101.66559600830078,100.58133624848865,12
2015-06-02,101.34334564208984,100.62605757940383,13
2015-06-03,101.64717864990234,100.67735472179595,14
2015-06-04,100.87376403808594,100.76986403692337,15
2015-06-05,100.63440704345703,100.88342103503999,-1
2015-06-08,99.61239624023438,100.92025030226935,-2
2015-06-09,99.4466781616211,100.89043753487724,-3
2015-06-10,100.80933380126953,100.94392794654483,-4
2015-06-11,100.95663452148438,101.02591596330915,-5
2015-06-12,100.12796783447266,101.05879829043434,-6
2015-06-15,99.63081359863281,100.9987324305943,-7
2015-06-16,100.17402648925781,100.96453385126023,-8
2015-06-17,100.45023345947266,100.92244211832683,-9
2015-06-18,101.91419982910156,100.95532517206101,1
2015-06-19,101.41028594970703,100.96114313034784,2
2015-06-22,102.15782928466797,100.97756885346912,3
2015-06-23,102.24087524414062,101.00277056012835,4
2015-06-24,101.71485900878906,101.05860610235305,5
