baseline_sd_median_excess_10,baseline_sd_median_excess_21,baseline_sd_median_excess_5,distinct_signal_dates,lost,mean_excess_10,mean_excess_21,mean_excess_5,measured_first,measured_last,median_excess_10,median_excess_21,median_excess_5,median_mae_r_10,median_mae_r_21,median_mae_r_5,median_mfe_r_10,median_mfe_r_21,median_mfe_r_5,n,net_mean_excess_10,net_mean_excess_21,net_mean_excess_5,net_median_excess_10,net_median_excess_21,net_median_excess_5,net_median_mae_r_10,net_median_mae_r_21,net_median_mae_r_5,net_median_mfe_r_10,net_median_mfe_r_21,net_median_mfe_r_5,net_win_rate_10,net_win_rate_21,net_win_rate_5,sequence,under_powered,unstable,win_rate_10,win_rate_21,win_rate_5
0.006079,0.008616,0.005717,76,35,-0.012501,-0.010069,-0.003461,2026-03-10,2026-06-30,-0.024254,-0.03433,-0.011315,-1.5419,-2.3605,-1.0855,1.472,2.0855,0.9727,408,-0.030275,-0.044372,-0.013402,-0.036339,-0.055285,-0.018541,-0.417185,-0.87634,-0.2588,-0.295595,-0.90331,-0.132785,-0.152244,-0.163445,-0.108814,healthy_charts -> vcp,False,False,0.39951,0.401961,0.436275
0.005917,0.008328,0.004972,75,70,0.006497,0.003543,-0.00136,2026-03-10,2026-06-30,-0.005114,-0.016712,-0.007897,-1.5905,-2.247,-1.2031,1.7118,2.6287,1.1801,696,-0.029651,-0.071447,-0.019701,-0.024181,-0.054652,-0.017131,-0.437515,-0.75545,-0.37485,-0.196075,-0.710485,0.0116,-0.089892,-0.138007,-0.093939,healthy_charts -> vol_up_gainers,False,True,0.479885,0.451149,0.458333
0.005091,0.011509,0.004477,76,123,0.011343,-0.003661,0.005164,2026-03-10,2026-06-30,-0.003978,-0.023976,-0.003778,-1.3348,-1.9011,-0.9362,1.5931,2.4689,1.0458,653,-0.027443,-0.084375,-0.014291,-0.02056,-0.054953,-0.013375,-0.200015,-0.38215,-0.114665,-0.287275,-0.766175,-0.10315,-0.069199,-0.140194,-0.055375,momentum_97 -> ema21_watch,False,False,0.490046,0.434916,0.497703
0.02617,0.046723,0.0144,38,6,0.043582,0.022827,0.004853,2026-03-17,2026-06-29,-0.007653,-0.011758,-0.002286,-1.7353,-2.5772,-1.4318,1.9193,2.8763,1.475,62,-0.038461,-0.160641,-0.028184,-0.053146,-0.11188,-0.013278,-0.715115,-1.254615,-0.622315,-0.16951,-1.007195,0.26502,-0.13387,-0.183393,-0.066659,momentum_97 -> episodic_pivot,False,True,0.483871,0.467742,0.5
0.004238,0.007977,0.002236,75,435,-0.004465,-0.014505,-0.000571,2026-03-10,2026-06-30,-0.010988,-0.037779,-0.001811,-1.5374,-2.2209,-1.0627,1.7205,2.5801,1.141,2053,-0.036209,-0.126113,-0.016369,-0.019976,-0.054873,-0.007543,-0.39896,-0.67515,-0.243465,-0.03783,-0.416335,0.041615,-0.059644,-0.103432,-0.036636,momentum_97 -> gainers_4pct,False,True,0.469557,0.434486,0.491963
0.003715,0.005162,0.002553,76,201,0.002664,-0.004733,0.004359,2026-03-10,2026-06-30,-0.011295,-0.031299,-0.002547,-1.5447,-2.1766,-1.0811,1.6663,2.5587,1.141,1990,-0.034263,-0.077532,-0.013943,-0.02686,-0.061199,-0.011095,-0.390095,-0.647395,-0.248965,-0.175675,-0.594215,0.00952,-0.082244,-0.121155,-0.057517,momentum_97 -> healthy_charts,False,False,0.471357,0.449246,0.488945
0.019535,0.025117,0.00945,46,8,-0.021835,-0.055998,0.005844,2026-03-10,2026-06-25,-0.038795,-0.061699,0.007123,-1.6857,-2.235,-1.2,1.3697,1.9593,1.0965,73,-0.044144,-0.103422,-0.003386,-0.054479,-0.091884,0.00303,-0.51997,-0.704935,-0.298955,-0.47589,-1.12319,-0.010645,-0.205136,-0.198566,0.017669,momentum_97 -> vcp,False,False,0.356164,0.369863,0.547945
0.007432,0.013088,0.00477,75,84,-0.00615,-0.010768,-0.001167,2026-03-10,2026-06-30,-0.007208,-0.032379,-0.00727,-1.8239,-2.4435,-1.3293,1.8346,2.7795,1.2202,571,-0.049705,-0.093934,-0.022151,-0.02725,-0.072766,-0.016278,-0.70041,-0.96405,-0.50853,-0.04615,-0.611545,0.054225,-0.080506,-0.139609,-0.073405,momentum_97 -> vol_up_gainers,False,True,0.483363,0.434326,0.469352
0.006123,0.008319,0.004513,76,74,-0.011232,-0.024353,-0.002533,2026-03-10,2026-06-30,-0.014486,-0.035809,0.00012,-1.4586,-2.1675,-1.0044,1.4888,2.1597,0.9992,400,-0.024125,-0.052248,-0.00952,-0.021748,-0.050465,-0.003996,-0.336615,-0.702005,-0.175815,-0.223535,-0.6635,-0.082555,-0.10103,-0.192442,-0.035266,vcp -> ema21_watch,False,True,0.4325,0.36,0.5
0.06178,0.07103,0.029108,4,1,-0.055371,-0.061482,-0.042687,2026-05-05,2026-06-22,-0.048678,-0.022894,-0.021388,-1.1044,-1.2338,-0.7904,0.3543,0.3899,0.3115,4,-0.059774,-0.111956,-0.037075,-0.050906,-0.079845,-0.015521,0.24371,0.29509,0.19874,-1.330005,-3.152105,-0.616215,-0.470833,-0.695833,-0.425,vcp -> episodic_pivot,True,True,0.0,0.0,0.0
