perf_1w,perf_1m,perf_3m,perf_6m,perf_1w_pctile,perf_3m_pctile,rs_1m,rs_3m,rs_6m,h_score,rel_volume,adr_pct,market_cap,vcs,atr_from_sma50,ema21_atr_dist,sma50_dist,sma20_dist,sma200_dist,high_52w,change_pct,avg_volume,pp_count_10d,dcr_pct,vol_5d_50d,close,his,day,t,rs21,rs126,px21,px63,px126,dollar_vol
0.0757022788,0.626001648,0.7286403258,1.3994232132,0.8891,0.9691,98,96,97,87,0.5029544211,4.6562,5660000000.0,21.8,7.1585,3.773,0.4999509007,0.2498838749,0.8569379787,-0.0097881402,0.0779261709,2638604.9,2.0,0.8782,,67.78,True,2026-08-13,RNG,100.0,100.0,100.0,100.0,100.0,178844640.122
0.1140187186,0.2144677112,0.4439733387,0.7911344403,0.9353,0.925,89,91,93,83,1.1511221068,4.0014,8170000000.0,10.4,6.1961,3.6559,0.3296596916,0.1948078304,0.5192648525,-0.0045929272,0.0690583394,6312906.3,4.0,0.9357,,23.84,True,2026-08-13,S,100.0,100.0,100.0,100.0,100.0,150499686.192
0.071275452,0.2604035437,0.516691905,0.3134033785,0.8839,0.941,92,93,78,80,1.6811370822,4.8488,11340000000.0,22.3,4.4961,2.8521,0.2787789043,0.1911749226,0.238819854,-0.1670833429,0.0672717704,3302093.6,3.0,0.7409,,19.99,False,2026-08-13,SAIL,100.0,99.20634920634922,100.0,100.0,100.0,66008851.063999996
0.0843305332,0.099143982,0.3957673226,0.6175856299,0.9014,0.9131,71,90,89,77,0.94422583,4.1209,1310000000.0,28.6,3.4532,2.3649,0.1659174128,0.1243316848,0.4068774038,-0.0126783443,0.0293571106,111294.35,3.0,0.6227,,193.9,False,2026-08-13,SENEA,100.0,100.0,100.0,100.0,100.0,21579974.465000004
0.0459193186,0.2676315518,0.6272839433,0.4325862419,0.8219,0.9591,92,95,84,83,0.6478410969,4.64,203970000000.0,0.4,4.954,3.0522,0.298474714,0.2003437414,0.1973845222,-0.1298644456,0.0539857384,11730143.45,4.0,0.9737,,158.53,True,2026-08-13,SHOP,100.0,100.0,100.0,100.0,100.0,1859579641.1285
0.0174307398,0.1196233587,0.3839632509,0.0467339998,0.6669,0.9085,76,89,43,63,1.0104000683,3.7037,5230000000.0,9.9,3.6576,2.4502,0.1566906703,0.1236335013,0.1764403796,-0.0288393734,0.0258841114,675048.45,5.0,0.9818,,96.31,False,2026-08-13,SKY,100.0,88.09523809523809,100.0,100.0,97.61904761904762,65013916.2195
0.0165480379,0.2590293397,0.7544887905,0.5774988835,0.6594,0.9714,92,97,89,84,0.7258715255,3.5987,26570000000.0,18.6,5.8714,2.8313,0.2679018006,0.1373141153,0.5726933609,-0.0137538169,0.0132165228,1801674.2,2.0,0.724,,188.59,False,2026-08-13,SN,95.23809523809523,99.20634920634922,100.0,100.0,100.0,339777737.378
0.0208478769,0.2494630717,1.2378616157,0.9511884665,0.6929,0.989,91,99,95,86,0.5312487161,4.065,116940000000.0,27.2,5.0407,2.4988,0.2577111367,0.1318381201,0.5756956928,-0.0133645479,0.0154096038,5035859.7,1.0,0.7352,,337.38,True,2026-08-13,SNOW,100.0,100.0,100.0,100.0,100.0,1698998345.586
0.0816299498,0.2071483307,0.5886710208,0.2257915482,0.896,0.9533,88,94,70,80,1.0347263143,4.1878,2860000000.0,23.5,5.1112,2.7193,0.2723385044,0.1423595968,0.1449228623,-0.323762453,0.0387383712,633927.05,6.0,0.9754,,79.37,False,2026-08-13,SPSC,100.0,100.0,100.0,100.0,100.0,50314789.958500005
0.2058823942,0.2244898056,0.3731509419,0.3176218683,0.9756,0.9044,89,88,79,67,5.1253859432,4.158,5930000000.0,22.8,3.879,3.5988,0.1923052855,0.1902314072,0.3630715826,-0.0114526761,0.1631206064,602274.45,2.0,0.8836,,49.2,False,2026-08-13,TBBB,100.0,100.0,100.0,100.0,100.0,29631902.939999998
0.1134365571,0.7970982528,1.0526835824,0.9192875727,0.9342,0.9849,99,98,95,87,1.0121058462,5.5144,42120000000.0,0.1,7.4573,5.0281,0.6984307645,0.4781599607,0.5388658746,-0.0979348058,0.0691831349,5406966.1,4.0,0.9075,,165.98,True,2026-08-13,TEAM,100.0,100.0,100.0,100.0,100.0,897448233.2779999
0.0849350768,0.1851135797,0.0445124903,0.2769074918,0.9026,0.5823,86,43,75,52,1.2084648069,3.7664,2900000000.0,28.3,3.299,2.1744,0.1418819958,0.1000344982,0.2433911752,-0.0082507234,0.0327605581,328456.4,2.0,0.7742,,83.54,False,2026-08-13,TNK,100.0,77.77777777777779,100.0,100.0,100.0,27439247.656000003
