setup,ticker,entry,exit,days,R,mfe_R,mae_R,capture%,entry_px,stop,stop_dist%,stop_ATR,vs_ma20%,vs_ma50%,vs_ma200%,ma20_50_gap%,vs_20dhigh%,pos_52w%,rsi14,atr%,trims,dir,machine_guess,trade_id,machine_guess_v2,guess_v2_conf
,CRCL,2026-05-29,2026-05-30,0,0.0,0.35,0.64,0.0,111.73,104.0,6.92,0.71,-2.5,5.5,,8.2,-20.2,58.0,52.0,9.6,1,long,Long in mixed structure,CRCL_2026-05-29_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,OKLL,2026-05-29,2026-06-03,3,-0.42,1.52,1.63,-28.0,9.28,8.4,9.48,0.54,-3.3,5.4,,9.0,-31.6,2.0,48.0,18.4,2,long,Long in mixed structure,OKLL_2026-05-29_000,Other — 对不上三类,low
,ONDS,2026-05-29,2026-06-02,2,2.8,5.74,1.57,49.0,12.15,11.8,2.88,0.28,21.9,22.4,,0.4,-11.8,82.0,69.0,9.4,1,long,Long in mixed structure,ONDS_2026-05-29_000,Other — 对不上三类,low
,PL,2026-05-29,2026-06-01,1,0.45,1.55,0.73,29.0,46.85,44.0,6.08,0.68,10.4,24.4,,12.7,-9.5,99.0,73.0,8.2,2,long,Extended long — RSI overbought,PL_2026-05-29_000,Other — 对不上三类,low
,TSLL,2026-05-29,2026-06-01,1,-0.45,0.37,1.05,-122.0,15.71,14.4,8.34,1.11,5.1,19.2,,13.4,-9.1,44.0,59.0,7.5,1,long,Long in mixed structure,TSLL_2026-05-29_000,Other — 对不上三类,low
,CRCL,2026-05-27,2026-06-02,4,-0.61,1.42,1.05,-43.0,104.78,98.0,6.47,0.62,-7.2,-1.9,,5.7,-25.2,48.0,44.0,10.6,2,long,Long in mixed structure,CRCL_2026-05-27_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,NOWL,2026-05-26,2026-05-27,1,-0.36,1.0,2.0,-37.0,5.12,4.9,4.3,0.42,17.9,1.9,,-13.6,-13.5,6.0,52.0,10.8,1,long,Long in mixed structure,NOWL_2026-05-26_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,ONDS,2026-05-26,2026-06-09,10,2.7,7.98,1.68,34.0,9.93,9.4,5.34,0.59,3.4,1.0,,-2.4,-18.1,53.0,51.0,9.2,3,long,Long in mixed structure,ONDS_2026-05-26_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,ONDS,2026-05-26,2026-05-29,3,0.0,3.2,4.38,0.0,11.89,11.3,4.96,0.65,23.8,20.9,,-2.4,-1.9,53.0,51.0,9.2,1,long,Long in mixed structure,ONDS_2026-05-26_001,Breakout,high
,TSLL,2026-05-26,2026-05-27,1,-0.24,-0.05,1.83,,16.58,15.8,4.7,0.61,15.6,27.1,,10.0,-4.0,43.0,59.0,8.1,1,long,Long in mixed structure,TSLL_2026-05-26_000,Breakout（临界，base 顶下 2-4%）,low
,TSLL,2026-05-26,2026-05-29,3,-0.41,1.55,3.24,-27.0,16.09,15.8,1.8,0.23,12.1,23.4,,10.0,-6.9,43.0,59.0,8.1,1,long,Long in mixed structure,TSLL_2026-05-26_001,Other — 对不上三类,low
,ACMR,2026-05-20,2026-05-27,5,4.78,5.24,1.65,91.0,72.33,69.0,4.6,0.65,24.2,42.4,,14.6,0.9,100.0,75.0,7.2,1,long,Extended long — RSI overbought,ACMR_2026-05-20_000,Breakout,high
,AMZU,2026-05-20,2026-06-01,8,0.03,2.11,1.37,2.0,42.34,41.0,3.16,0.63,-1.2,19.5,,21.0,-9.7,79.0,56.0,5.0,3,long,Long in mixed structure,AMZU_2026-05-20_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,CRDO,2026-05-20,2026-06-03,10,2.12,5.01,2.23,42.0,194.3,184.0,5.3,0.59,5.8,32.9,,25.7,-7.9,76.0,54.0,9.5,2,long,Long in mixed structure,CRDO_2026-05-20_000,Other — 对不上三类,low
,TSLL,2026-05-20,2026-06-01,8,0.5,2.08,1.49,24.0,14.96,14.2,5.08,0.59,7.7,15.3,,7.0,-13.4,35.0,54.0,8.8,1,long,Long in mixed structure,TSLL_2026-05-20_000,Other — 对不上三类,low
,BE,2026-05-19,2026-05-27,6,3.49,6.98,3.32,50.0,267.87,260.0,2.94,0.31,-0.1,31.1,,31.3,-13.6,82.0,54.0,9.8,2,long,Long in mixed structure,BE_2026-05-19_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,CGNX,2026-05-19,2026-06-05,13,-0.03,1.87,1.07,-1.0,63.1,60.0,4.91,0.96,5.9,15.8,,9.3,-12.0,70.0,54.0,5.4,2,long,Long in mixed structure,CGNX_2026-05-19_000,Other — 对不上三类,low
,DOCN,2026-05-19,2026-06-23,25,1.3,5.37,2.83,24.0,155.89,150.0,3.78,0.44,19.9,54.4,,28.8,-5.4,89.0,65.0,8.9,2,long,Long in mixed structure,DOCN_2026-05-19_000,Other — 对不上三类,low
,NOWL,2026-05-19,2026-05-21,2,-1.31,3.31,1.79,-40.0,5.06,4.8,5.14,0.53,19.9,-3.0,,-19.1,-14.5,7.0,56.0,9.7,1,long,Long in mixed structure,NOWL_2026-05-19_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,ALAB,2026-05-18,2026-05-27,7,3.16,4.1,1.27,77.0,237.78,216.0,9.16,1.16,15.7,48.0,,27.9,-0.8,71.0,60.0,8.7,3,long,Long in mixed structure,ALAB_2026-05-18_000,Breakout,high
,CLSK,2026-05-18,2026-05-29,9,3.25,5.83,1.69,56.0,13.97,13.2,5.51,0.73,7.7,25.7,,16.7,-7.1,35.0,57.0,7.9,3,long,Long in mixed structure,CLSK_2026-05-18_000,Other — 对不上三类,low
,FIG,2026-05-18,2026-05-19,1,-0.44,0.4,0.91,-109.0,24.54,21.3,13.2,2.05,27.1,15.7,,-9.0,0.5,12.0,67.0,6.5,1,long,Long in mixed structure,FIG_2026-05-18_000,Breakout,high
,HD,2026-05-18,2026-05-27,7,1.35,2.04,1.72,66.0,301.43,293.0,2.8,1.09,-5.3,-7.8,,-2.7,-14.1,2.0,33.0,2.6,2,long,Long in mixed structure,HD_2026-05-18_000,Other — 对不上三类,low
,NBIS,2026-05-18,2026-06-05,14,7.98,15.73,2.32,51.0,195.31,190.0,2.72,0.27,13.1,36.8,,20.9,-16.4,80.0,62.0,9.8,2,long,Long in mixed structure,NBIS_2026-05-18_000,Other — 对不上三类,low
,NOWL,2026-05-18,2026-05-21,3,-1.14,3.0,1.73,-38.0,5.08,4.8,5.51,0.64,20.0,-3.8,,-19.9,-11.3,8.0,58.0,8.4,2,long,Long in mixed structure,NOWL_2026-05-18_000,Other — 对不上三类,low
,RIG,2026-05-18,2026-05-20,2,-0.36,0.4,1.17,-89.0,7.47,7.0,6.29,1.42,13.7,15.1,,1.2,-2.2,99.0,71.0,4.4,1,long,Extended long — RSI overbought,RIG_2026-05-18_000,Breakout（临界，base 顶下 2-4%）,low
,SOXS,2026-05-17,2026-05-18,1,1.33,,,,9.13,8.3,9.09,0.0,-99.5,-99.8,,-51.5,-99.7,1.0,29.0,14.1,3,long,Long in mixed structure,SOXS_2026-05-17_000,Other — 对不上三类,low
,SOXS,2026-05-17,2026-05-19,2,1.5,,,,9.88,9.2,6.88,0.0,-99.5,-99.7,,-51.5,-99.7,1.0,29.0,14.1,3,long,Long in mixed structure,SOXS_2026-05-17_001,Other — 对不上三类,low
,TZA,2026-05-17,2026-05-20,3,0.44,,,,4.97,4.7,5.43,0.11,-89.7,-91.6,,-18.0,-90.7,8.0,45.0,4.9,1,long,Long in mixed structure,TZA_2026-05-17_000,Other — 对不上三类,low
,ALAB,2026-05-14,2026-05-18,2,-0.49,0.64,1.5,-76.0,230.89,217.0,6.02,0.8,15.1,47.5,,28.2,-0.4,79.0,69.0,7.6,1,long,Long in mixed structure,ALAB_2026-05-14_000,Breakout,high
,CRCL,2026-05-14,2026-05-18,2,-1.32,12.32,3.65,-11.0,112.98,111.4,1.4,0.14,3.8,5.3,,1.5,-19.3,68.0,59.0,9.3,1,long,Long in mixed structure,CRCL_2026-05-14_000,Other — 对不上三类,low
,DDOG,2026-05-14,2026-05-29,11,7.39,13.49,2.35,55.0,205.3,202.0,1.61,0.29,33.2,52.8,,14.7,-0.1,98.0,82.0,5.7,2,long,Extended long — RSI overbought,DDOG_2026-05-14_000,Breakout,high
,DDOG,2026-05-14,2026-05-18,2,-0.6,0.19,1.57,,209.81,202.0,3.72,0.68,36.2,56.2,,14.7,2.1,98.0,82.0,5.7,1,long,Extended long — RSI overbought,DDOG_2026-05-14_001,Breakout,high
,FIG,2026-05-14,2026-05-19,3,0.49,1.49,2.24,33.0,23.12,21.3,7.87,1.5,22.7,7.8,,-12.2,7.5,6.0,52.0,6.0,2,long,Long in mixed structure,FIG_2026-05-14_000,Breakout,high
,OUST,2026-05-14,2026-05-18,2,-2.08,1.29,2.83,-162.0,33.77,32.0,5.24,0.54,22.3,43.6,,17.4,-4.9,73.0,71.0,9.3,1,long,Extended long — RSI overbought,OUST_2026-05-14_000,Other — 对不上三类,low
,OUST,2026-05-14,2026-05-15,1,0.0,1.12,1.78,0.0,34.12,32.4,5.04,0.53,23.6,45.1,,17.4,-3.9,73.0,71.0,9.3,1,long,Extended long — RSI overbought,OUST_2026-05-14_001,Breakout（临界，base 顶下 2-4%）,low
,SLV,2026-05-14,2026-05-18,2,-0.39,4.02,0.7,-10.0,69.85,68.0,2.65,0.63,-1.2,0.0,,1.3,-13.6,55.0,58.0,3.9,1,long,Long in mixed structure,SLV_2026-05-14_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,SOXS,2026-05-14,2026-05-19,3,1.81,,,,9.12,8.2,10.09,0.0,-99.5,-99.8,,-50.8,-99.7,0.0,25.0,15.8,3,long,Long in mixed structure,SOXS_2026-05-14_000,Other — 对不上三类,low
,ALAB,2026-05-12,2026-06-23,30,21.01,27.97,1.89,75.0,208.32,200.0,3.99,0.49,6.8,37.1,,28.4,-10.1,65.0,61.0,8.4,3,long,Long in mixed structure,ALAB_2026-05-12_000,Other — 对不上三类,low
,ALAB,2026-05-12,2026-06-01,14,13.59,15.98,1.81,85.0,209.1,200.0,4.35,0.53,7.2,37.7,,28.4,-9.8,65.0,61.0,8.4,2,long,Long in mixed structure,ALAB_2026-05-12_001,Other — 对不上三类,low
,CWEB,2026-05-12,2026-05-15,3,-1.08,0.12,1.49,,30.09,27.0,10.27,2.83,8.8,7.9,,-0.8,-2.3,7.0,49.0,4.0,1,long,Long in mixed structure,CWEB_2026-05-12_000,Breakout（临界，base 顶下 2-4%）,low
,NBIS,2026-05-12,2026-06-23,30,1.42,7.26,1.53,20.0,194.51,180.0,7.46,0.94,19.5,46.0,,22.1,-1.7,86.0,61.0,8.6,3,long,Long in mixed structure,NBIS_2026-05-12_000,Breakout,high
,NEBX,2026-05-12,2026-05-15,3,0.96,,,,115.42,100.0,13.36,3.31,361.2,536.2,,37.9,222.9,77.0,59.0,16.1,3,long,Long in mixed structure,NEBX_2026-05-12_000,Breakout,high
,AKAM,2026-05-10,2026-05-12,2,-1.03,0.54,1.64,-190.0,153.4,148.0,3.52,0.77,49.0,44.4,,-3.1,2.4,97.0,78.0,4.8,1,long,Extended long — RSI overbought,AKAM_2026-05-10_000,Breakout,high
,ALAB,2026-05-10,2026-05-12,2,-0.83,1.17,1.4,-71.0,204.49,196.0,4.15,0.5,6.9,37.7,,28.9,-11.8,62.0,60.0,8.6,1,long,Long in mixed structure,ALAB_2026-05-10_000,Other — 对不上三类,low
,CRCL,2026-05-10,2026-05-15,5,-1.33,1.19,2.61,-111.0,129.12,120.0,7.06,1.07,23.7,23.2,,-0.4,5.1,58.0,57.0,7.5,1,long,Long in mixed structure,CRCL_2026-05-10_000,Breakout,high
,GLW,2026-05-10,2026-05-15,5,-0.91,0.48,1.63,-188.0,206.1,195.0,5.39,0.94,22.9,36.3,,10.9,4.1,92.0,67.0,6.3,1,long,Long in mixed structure,GLW_2026-05-10_000,Breakout,high
,NOK,2026-05-10,2026-05-12,2,0.0,7.69,2.23,0.0,13.05,12.92,1.0,0.17,14.2,36.4,,19.4,-6.7,88.0,68.0,6.1,1,long,Long in mixed structure,NOK_2026-05-10_000,Other — 对不上三类,low
,NVTS,2026-05-10,2026-05-15,5,4.24,5.94,1.0,71.0,18.95,18.13,4.33,0.35,24.5,63.8,,31.5,-4.2,89.0,63.0,13.0,3,long,Long in mixed structure,NVTS_2026-05-10_000,Other — 对不上三类,low
,NVTS,2026-05-10,2026-05-11,1,1.66,2.6,1.65,64.0,20.34,19.0,6.59,0.56,33.6,75.8,,31.5,2.8,89.0,63.0,13.0,1,long,Long in mixed structure,NVTS_2026-05-10_001,Breakout,high
,TSLL,2026-05-10,2026-05-15,5,-0.32,0.34,0.73,-94.0,16.45,14.0,14.89,2.72,28.7,28.5,,-0.2,4.8,42.0,69.0,5.8,1,long,Long in mixed structure,TSLL_2026-05-10_000,Breakout,high
,ALB,2026-05-07,2026-05-12,3,-0.04,1.82,1.09,-2.0,203.78,194.62,4.5,0.86,5.8,13.7,,7.4,-7.6,85.0,56.0,5.4,2,long,Long in mixed structure,ALB_2026-05-07_000,Other — 对不上三类,low
,BE,2026-05-07,2026-05-08,1,0.0,9.44,1.27,0.0,253.37,250.0,1.33,0.15,6.0,36.9,,29.2,-16.4,83.0,60.0,8.6,1,long,Long in mixed structure,BE_2026-05-07_000,Other — 对不上三类,low
,BE,2026-05-07,2026-06-05,21,1.67,4.23,0.89,39.0,255.84,240.0,6.19,0.71,7.0,38.2,,29.2,-15.6,83.0,60.0,8.6,2,long,Long in mixed structure,BE_2026-05-07_001,Other — 对不上三类,low
,BE,2026-05-07,2026-05-08,1,0.0,4.89,2.15,0.0,260.12,255.0,1.97,0.23,8.8,40.5,,29.2,-14.1,83.0,60.0,8.6,1,long,Long in mixed structure,BE_2026-05-07_002,Other — 对不上三类,low
,BE,2026-05-07,2026-05-08,1,4.72,11.82,5.2,40.0,260.12,258.0,0.82,0.09,8.8,40.5,,29.2,-14.1,83.0,60.0,8.6,1,long,Long in mixed structure,BE_2026-05-07_003,Other — 对不上三类,low
,GLW,2026-05-07,2026-05-08,1,-0.56,1.28,2.58,-43.0,191.23,186.0,2.73,0.47,14.5,27.1,,11.0,-2.2,90.0,65.0,6.1,1,long,Long in mixed structure,GLW_2026-05-07_000,Breakout（临界，base 顶下 2-4%）,low
,GLW,2026-05-07,2026-05-11,2,2.54,2.68,1.29,95.0,187.78,180.0,4.14,0.7,12.5,24.8,,11.0,-4.0,90.0,65.0,6.1,1,long,Long in mixed structure,GLW_2026-05-07_001,Breakout（临界，base 顶下 2-4%）,low
,PL,2026-05-07,2026-05-12,3,2.02,4.01,0.49,50.0,35.82,34.0,5.08,0.55,-2.3,11.8,,14.5,-14.1,82.0,50.0,9.3,2,long,Long in mixed structure,PL_2026-05-07_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,SLV,2026-05-07,2026-05-18,7,-1.23,2.47,1.46,-50.0,73.13,70.0,4.28,1.22,5.8,4.4,,-1.4,-2.7,49.0,56.0,3.6,2,long,Long in mixed structure,SLV_2026-05-07_000,Breakout（临界，base 顶下 2-4%）,low
,ACMR,2026-05-06,2026-06-05,22,3.45,5.73,1.08,60.0,59.12,53.0,10.35,1.71,15.5,21.7,,5.4,3.2,65.0,61.0,6.5,3,long,Long in mixed structure,ACMR_2026-05-06_000,Breakout,high
,BE,2026-05-06,2026-05-07,1,-0.34,11.75,2.59,-3.0,263.98,261.0,1.13,0.14,12.7,43.9,,27.7,-12.9,93.0,73.0,7.5,1,long,Extended long — RSI overbought,BE_2026-05-06_000,Other — 对不上三类,low
,SOXS,2026-05-06,2026-05-11,3,-1.1,,,,10.34,10.0,3.29,0.0,-99.6,-99.8,,-42.7,-99.7,0.0,22.0,15.0,3,long,Long in mixed structure,SOXS_2026-05-06_000,Other — 对不上三类,low
,METU,2026-05-05,2026-05-06,1,-0.04,0.23,1.32,,25.12,24.0,4.46,0.69,-11.5,-7.3,,4.8,-21.7,18.0,38.0,6.7,2,long,Long in mixed structure,METU_2026-05-05_000,Other — 对不上三类,low
,NVDL,2026-05-05,2026-05-08,3,3.17,,,,95.75,92.77,3.11,1.47,206.1,240.6,,11.3,159.7,48.0,49.0,6.7,3,long,Long in mixed structure,NVDL_2026-05-05_000,Breakout,high
,OKLO,2026-05-05,2026-05-07,2,0.01,0.1,0.11,,73.4,7.0,90.46,9.54,13.3,21.6,,7.3,-9.9,16.0,54.0,10.2,2,long,Long in mixed structure,OKLO_2026-05-05_000,Other — 对不上三类,low
,SATL,2026-05-05,2026-05-06,1,0.0,1.64,1.5,0.0,7.08,6.8,3.95,0.39,2.6,34.3,,30.9,-15.2,81.0,58.0,10.3,1,long,Long in mixed structure,SATL_2026-05-05_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,ALMU,2026-05-04,2026-05-06,2,0.07,0.82,1.2,8.0,26.34,23.42,11.09,0.99,51.7,66.4,,9.7,0.5,80.0,64.0,12.9,1,long,Long in mixed structure,ALMU_2026-05-04_000,Breakout,high
,APLD,2026-05-04,2026-05-19,11,2.02,7.47,3.64,27.0,37.18,35.76,3.82,0.53,18.9,30.0,,9.4,-3.5,77.0,62.0,7.6,3,long,Long in mixed structure,APLD_2026-05-04_000,Breakout（临界，base 顶下 2-4%）,low
,CIFR,2026-05-04,2026-05-15,9,2.85,6.38,2.03,45.0,18.5,17.8,3.78,0.47,5.1,17.2,,11.5,-8.6,64.0,55.0,8.3,3,long,Long in mixed structure,CIFR_2026-05-04_000,Other — 对不上三类,low
,CYTK,2026-05-04,2026-05-06,2,0.21,1.28,2.56,17.0,74.48,70.0,6.02,1.74,15.0,16.9,,1.7,9.7,87.0,55.0,3.9,1,long,Long in mixed structure,CYTK_2026-05-04_000,Breakout,high
,GLW,2026-05-04,2026-05-29,19,1.93,6.85,1.46,28.0,167.43,161.0,3.84,0.7,1.6,12.3,,10.6,-6.4,83.0,52.0,5.8,2,long,Long in mixed structure,GLW_2026-05-04_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,NBIS,2026-05-04,2026-05-07,3,0.85,5.22,4.33,16.0,177.0,173.0,2.26,0.32,18.1,43.7,,21.6,-1.3,97.0,69.0,7.1,1,long,Long in mixed structure,NBIS_2026-05-04_000,Breakout,high
,OPEN,2026-05-04,2026-05-08,4,-0.5,2.5,1.6,-20.0,5.1,4.9,3.92,0.49,0.6,1.3,,0.8,-15.0,37.0,50.0,7.9,1,long,Long in mixed structure,OPEN_2026-05-04_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,USAR,2026-05-04,2026-05-11,5,-0.11,0.59,1.0,-19.0,27.25,24.8,8.99,1.01,30.8,42.0,,8.6,-0.3,43.0,64.0,9.5,2,long,Long in mixed structure,USAR_2026-05-04_000,Breakout,high
,FSLY,2026-05-03,2026-05-07,4,-0.68,9.12,15.02,-7.0,27.39,26.8,2.15,0.24,4.8,10.5,,5.4,-21.3,76.0,56.0,8.8,2,long,Long in mixed structure,FSLY_2026-05-03_000,Other — 对不上三类,low
,NBIS,2026-05-03,2026-07-15,53,4.22,12.82,1.03,33.0,170.12,160.0,5.95,0.88,16.0,39.8,,20.5,0.8,87.0,60.0,7.5,2,long,Long in mixed structure,NBIS_2026-05-03_000,Breakout,high
,AEHR,2026-04-30,2026-05-04,2,-1.86,3.35,4.39,-56.0,92.17,90.0,2.35,0.24,19.0,71.9,,44.5,-10.1,86.0,68.0,10.2,2,long,Long in mixed structure,AEHR_2026-04-30_000,Other — 对不上三类,low
,DXYZ,2026-04-30,2026-05-11,7,7.3,18.0,1.73,41.0,34.34,32.29,5.97,1.37,16.7,22.6,,5.0,2.0,60.0,64.0,4.6,3,long,Long in mixed structure,DXYZ_2026-04-30_000,Breakout,high
,NOK,2026-04-30,2026-05-07,5,-0.67,10.53,1.93,-6.0,12.4,12.25,1.21,0.23,20.7,39.1,,15.2,-4.0,100.0,82.0,5.1,1,long,Extended long — RSI overbought,NOK_2026-04-30_000,Breakout（临界，base 顶下 2-4%）,low
,ONDS,2026-04-30,2026-05-05,3,-1.14,0.3,1.59,-384.0,10.34,9.6,7.16,0.91,3.3,2.5,,-0.7,-10.9,55.0,49.0,8.1,2,long,Long in mixed structure,ONDS_2026-04-30_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,AAOI,2026-04-29,2026-04-30,1,-0.53,0.74,3.03,-72.0,160.35,153.0,4.58,0.42,14.9,47.2,,28.1,-7.5,87.0,58.0,11.5,1,long,Long in mixed structure,AAOI_2026-04-29_000,Other — 对不上三类,low
,BB,2026-04-29,2026-05-06,5,1.06,3.0,0.9,35.0,5.31,5.0,5.84,0.89,19.0,39.6,,17.4,-8.3,85.0,71.0,6.5,1,long,Extended long — RSI overbought,BB_2026-04-29_000,Other — 对不上三类,low
,FSLY,2026-04-29,2026-04-30,1,-1.03,0.49,1.28,-212.0,26.12,24.6,5.82,0.55,-2.4,6.8,,9.4,-25.0,70.0,52.0,10.5,1,long,Long in mixed structure,FSLY_2026-04-29_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,FSLY,2026-04-29,2026-04-30,1,-0.32,0.28,1.24,-116.0,26.37,24.6,6.71,0.64,-1.4,7.8,,9.4,-24.3,70.0,52.0,10.5,1,long,Long in mixed structure,FSLY_2026-04-29_001,Pullback — U&R 或 30m Pivot（手标定）,mid
,FSLY,2026-04-29,2026-05-07,6,4.28,9.83,7.75,44.0,24.81,24.0,3.26,0.29,-7.3,1.4,,9.4,-28.7,70.0,52.0,10.5,2,long,Long in mixed structure,FSLY_2026-04-29_002,Pullback — U&R 或 30m Pivot（手标定）,mid
,NOK,2026-04-29,2026-05-07,6,4.11,8.95,3.68,46.0,12.28,12.09,1.55,0.3,22.3,39.5,,14.0,-2.5,98.0,80.0,5.1,2,long,Extended long — RSI overbought,NOK_2026-04-29_000,Breakout（临界，base 顶下 2-4%）,low
,ONDS,2026-04-29,2026-05-05,4,-1.13,2.74,1.77,-41.0,9.71,9.4,3.19,0.4,-2.4,-3.9,,-1.5,-16.4,51.0,44.0,8.2,1,long,Long in mixed structure,ONDS_2026-04-29_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,USAR,2026-04-29,2026-05-12,9,3.6,10.11,6.32,36.0,24.24,23.8,1.82,0.2,26.0,29.6,,2.9,-6.6,33.0,57.0,9.8,2,long,Long in mixed structure,USAR_2026-04-29_000,Other — 对不上三类,low
,NBIS,2026-04-28,2026-04-29,1,-0.22,1.7,1.08,-13.0,136.97,133.0,2.9,0.33,-2.6,15.0,,18.1,-18.8,69.0,49.0,8.8,1,long,Long in mixed structure,NBIS_2026-04-28_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,ONDS,2026-04-28,2026-04-29,1,-0.5,7.25,1.05,-7.0,9.62,9.42,2.08,0.27,-3.1,-4.9,,-1.9,-17.1,59.0,53.0,7.1,1,long,Long in mixed structure,ONDS_2026-04-28_000,Other — 对不上三类,low
,ALM,2026-04-27,2026-04-29,2,-0.67,3.5,2.87,-19.0,20.28,19.86,2.07,0.23,4.5,11.2,,6.4,-16.9,86.0,58.0,8.5,1,long,Long in mixed structure,ALM_2026-04-27_000,Other — 对不上三类,low
,CIFR,2026-04-23,2026-04-24,1,-1.0,1.87,2.27,-53.0,19.21,18.66,2.86,0.36,19.9,23.7,,3.2,-5.1,67.0,60.0,8.2,1,long,Long in mixed structure,CIFR_2026-04-23_000,Other — 对不上三类,low
,NBIS,2026-04-23,2026-04-24,1,-0.55,4.18,1.81,-13.0,151.84,148.5,2.2,0.31,13.1,30.8,,15.6,-10.0,89.0,67.0,6.8,1,long,Long in mixed structure,NBIS_2026-04-23_000,Other — 对不上三类,low
,ONDS,2026-04-23,2026-04-29,4,-0.74,0.53,1.26,-141.0,10.58,9.65,8.79,1.28,9.7,5.5,,-3.8,-8.9,60.0,55.0,6.9,2,long,Long in mixed structure,ONDS_2026-04-23_000,Other — 对不上三类,low
,OPEN,2026-04-23,2026-05-08,11,-1.0,0.85,1.56,-118.0,5.39,5.0,7.24,1.09,12.0,9.6,,-2.2,-10.2,38.0,56.0,6.9,2,long,Long in mixed structure,OPEN_2026-04-23_000,Other — 对不上三类,low
,NBIS,2026-04-22,2026-04-23,1,-0.27,2.01,1.23,-13.0,159.13,155.0,2.6,0.39,20.4,38.6,,15.1,-5.7,88.0,66.0,6.9,1,long,Long in mixed structure,NBIS_2026-04-22_000,Other — 对不上三类,low
,SQQQ,2026-04-22,2026-04-24,2,-0.57,0.2,1.13,,55.52,52.0,6.34,1.12,-19.4,-20.7,,-1.7,-37.8,0.0,28.0,5.8,1,long,Long in mixed structure,SQQQ_2026-04-22_000,Other — 对不上三类,low
,ACMR,2026-04-21,2026-04-28,5,-1.42,1.17,1.67,-121.0,53.35,50.0,6.28,1.15,17.8,3.8,,-11.9,0.8,56.0,59.0,5.7,1,long,Long in mixed structure,ACMR_2026-04-21_000,Breakout,high
,NBIS,2026-04-21,2026-04-23,2,-0.51,1.28,1.17,-40.0,160.44,155.0,3.39,0.53,23.4,41.3,,14.6,-4.9,88.0,67.0,6.6,2,long,Long in mixed structure,NBIS_2026-04-21_000,Other — 对不上三类,low
,NMAX,2026-04-21,2026-04-23,2,4.37,7.64,3.02,57.0,7.84,7.4,5.61,0.99,28.6,24.4,,-3.3,2.9,20.0,66.0,6.1,3,long,Long in mixed structure,NMAX_2026-04-21_000,Breakout,high
,NMAX,2026-04-21,2026-04-22,1,-0.21,0.78,3.85,-27.0,10.5,9.6,8.57,2.03,72.3,66.6,,-3.3,37.8,20.0,66.0,6.1,1,long,Long in mixed structure,NMAX_2026-04-21_001,Breakout,high
,NMAX,2026-04-21,2026-04-22,1,-0.27,1.72,3.43,-16.0,9.81,9.0,8.26,1.83,61.0,55.7,,-3.3,28.7,20.0,66.0,6.1,1,long,Long in mixed structure,NMAX_2026-04-21_002,Breakout,high
,NMAX,2026-04-21,2026-04-22,1,-0.35,6.1,7.34,-6.0,9.31,9.0,3.33,0.7,52.7,47.7,,-3.3,22.2,20.0,66.0,6.1,1,long,Long in mixed structure,NMAX_2026-04-21_003,Breakout,high
,SNXX,2026-04-21,2026-04-22,1,-1.0,,,,72.85,71.65,1.65,1.11,961.4,1165.6,,19.2,618.9,81.0,64.0,12.2,1,long,Long in mixed structure,SNXX_2026-04-21_000,Breakout,high
,SNXX,2026-04-21,2026-04-23,2,2.68,,,,71.78,69.5,3.18,2.12,945.8,1147.0,,19.2,608.3,81.0,64.0,12.2,2,long,Long in mixed structure,SNXX_2026-04-21_001,Breakout,high
,CAR,2026-04-20,2026-04-21,1,0.21,10.57,8.94,2.0,633.14,648.0,-2.35,-0.25,137.4,275.7,,58.3,3.4,99.0,95.0,9.9,1,short,Short in mixed structure,CAR_2026-04-20_000,Short — 三类之外,low
,CAR,2026-04-20,2026-04-21,1,-0.69,15.0,14.55,-5.0,623.19,633.0,-1.57,-0.16,133.7,269.8,,58.3,1.7,99.0,95.0,9.9,1,short,Short in mixed structure,CAR_2026-04-20_001,Short — 三类之外,low
,OPEN,2026-04-20,2026-04-23,3,-1.0,2.12,1.06,-47.0,5.32,5.0,6.02,1.0,11.3,8.9,,-2.1,-3.6,40.0,60.0,6.0,1,long,Long in mixed structure,OPEN_2026-04-20_000,Breakout（临界，base 顶下 2-4%）,low
,OPEN,2026-04-20,2026-04-21,1,0.19,0.47,0.82,41.0,5.68,5.0,11.97,2.14,18.8,16.2,,-2.1,2.9,40.0,60.0,6.0,1,long,Long in mixed structure,OPEN_2026-04-20_001,Breakout,high
