setup,ticker,entry,exit,days,R,mfe_R,mae_R,capture%,entry_px,stop,stop_dist%,stop_ATR,vs_ma20%,vs_ma50%,vs_ma200%,ma20_50_gap%,vs_20dhigh%,pos_52w%,rsi14,atr%,trims,dir,machine_guess,trade_id,machine_guess_v2,guess_v2_conf
,AMZU,2026-08-06,2026-08-11,3,-0.31,3.56,2.17,-9.0,42.48,42.0,1.13,0.17,17.4,18.3,21.8,0.7,-8.7,77.0,61.0,6.7,2,long,Long in mixed structure,AMZU_2026-08-06_000,Other — 对不上三类,low
,BLZE,2026-08-05,2026-08-06,1,-0.61,1.18,1.65,-52.0,18.82,18.0,4.36,0.44,29.5,55.5,172.8,20.1,-21.6,74.0,67.0,9.9,1,long,Long in mixed structure,BLZE_2026-08-05_000,Other — 对不上三类,low
,HPE,2026-08-05,2026-08-18,9,4.65,6.6,0.94,70.0,50.9,49.0,3.73,0.66,6.4,8.5,71.4,1.9,-6.8,76.0,65.0,5.4,3,long,Long in mixed structure,HPE_2026-08-05_000,Other — 对不上三类,low
,ARM,2026-08-04,2026-08-05,1,-0.33,1.2,5.08,-28.0,277.12,272.0,1.85,0.21,1.5,-14.5,45.3,-15.7,-18.4,51.0,50.0,8.6,1,long,Pullback below MA50 — risk-on but stretched,ARM_2026-08-04_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,CBRG,2026-08-04,2026-08-05,1,-0.76,0.8,1.57,-95.0,5.09,4.74,6.88,0.33,18.9,-9.5,,-23.9,-20.1,16.0,55.0,20.4,2,long,Long in mixed structure,CBRG_2026-08-04_000,Other — 对不上三类,low
,ARM,2026-08-03,2026-08-07,4,3.23,3.67,4.75,88.0,264.49,255.0,3.59,0.42,-3.5,-18.4,39.0,-15.5,-22.1,39.0,37.0,9.4,1,long,Pullback below MA50 — risk-on but stretched,ARM_2026-08-03_000,Other — 对不上三类,low
,TQQQ,2026-08-03,2026-08-05,2,1.67,2.49,2.68,67.0,70.39,68.0,3.4,0.55,2.2,-5.8,18.9,-7.9,-9.0,61.0,48.0,6.4,3,long,Pullback below MA50 — risk-on but stretched,TQQQ_2026-08-03_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,FNGU,2026-08-02,2026-08-05,3,2.97,3.79,1.02,78.0,28.45,27.0,5.1,0.88,5.7,1.8,12.9,-3.7,-4.8,57.0,50.0,6.2,3,long,Pullback below MA50 — risk-on but stretched,FNGU_2026-08-02_000,Pullback — U&R 或 30m Pivot（手标定）,mid
,HPE,2026-08-02,2026-08-18,12,3.85,5.2,1.01,74.0,49.1,46.34,5.62,0.95,5.4,6.9,67.7,1.5,-3.9,64.0,55.0,6.1,3,long,Pullback in uptrend,HPE_2026-08-02_000,Breakout（临界，base 顶下 2-4%）,low
,SOXL,2026-07-20,2026-07-22,2,-0.28,1.29,3.72,-22.0,158.0,152.0,3.8,0.19,-20.5,-22.7,67.3,-2.8,-47.7,41.0,40.0,23.0,2,long,Pullback below MA50 — risk-on but stretched,SOXL_2026-07-20_000,Other — 对不上三类,low
