date,high,low,close
2024-02-08,1126.0,-811.0,158.0
2024-02-09,979.0,-975.0,366.0
2024-02-12,872.0,-295.0,196.0
2024-02-13,832.0,-1874.0,293.0
2024-02-14,1532.0,-1398.0,-292.0
2024-02-15,1428.0,-1005.0,-323.0
2024-02-16,1031.0,-1047.0,57.0
2024-02-20,618.0,-1035.0,-208.0
2024-02-21,780.0,-1118.0,38.0
2024-02-22,974.0,-1168.0,152.0
2024-02-23,827.0,-943.0,-223.0
2024-02-26,589.0,-905.0,1.0
2024-02-27,1147.0,-1287.0,528.0
2024-02-28,580.0,-905.0,186.0
2024-02-29,1489.0,-940.0,414.0
2024-03-01,933.0,-1182.0,388.0
2024-03-04,309.0,-455.0,182.0
2024-03-05,720.0,-1056.0,148.0
2024-03-06,1548.0,-1048.0,5.0
2024-03-07,1566.0,-1165.0,332.0
2024-03-08,1234.0,-770.0,-17.0
2024-03-11,572.0,-801.0,-304.0
2024-03-12,895.0,-803.0,72.0
2024-03-13,875.0,-938.0,-20.0
2024-03-14,662.0,-1389.0,-375.0
2024-03-15,905.0,-1200.0,175.0
2024-03-18,643.0,-446.0,289.0
2024-03-19,549.0,-964.0,86.0
2024-03-20,951.0,-760.0,282.0
2024-03-21,1318.0,-1129.0,-99.0
2024-03-22,700.0,-746.0,457.0
2024-03-25,686.0,-560.0,-8.0
2024-03-26,1361.0,-791.0,5.0
2024-03-27,1413.0,-847.0,53.0
2024-03-28,1141.0,-585.0,287.0
2024-04-01,669.0,-712.0,88.0
2024-04-02,832.0,-1425.0,-192.0
2024-04-03,789.0,-1064.0,68.0
2024-04-04,1732.0,-1204.0,126.0
2024-04-05,807.0,-1481.0,715.0
2024-04-08,1160.0,-496.0,40.0
2024-04-09,1181.0,-1019.0,-292.0
2024-04-10,976.0,-1992.0,123.0
2024-04-11,1239.0,-1538.0,-300.0
2024-04-12,1174.0,-972.0,241.0
2024-04-15,1098.0,-1205.0,252.0
2024-04-16,913.0,-1572.0,415.0
2024-04-17,1696.0,-1324.0,-760.0
2024-04-18,1345.0,-1170.0,-465.0
2024-04-19,844.0,-1371.0,313.0
2024-04-22,1045.0,-442.0,150.0
2024-04-23,1302.0,-1001.0,169.0
2024-04-24,801.0,-892.0,-32.0
2024-04-25,823.0,-1697.0,115.0
2024-04-26,901.0,-1073.0,135.0
2024-04-29,1259.0,-272.0,-33.0
2024-04-30,816.0,-1355.0,-46.0
2024-05-01,688.0,-1192.0,225.0
2024-05-02,1576.0,-1262.0,-50.0
2024-05-03,1819.0,-792.0,113.0
2024-05-06,1714.0,-294.0,141.0
2024-05-07,1055.0,-466.0,-59.0
2024-05-08,479.0,-1013.0,42.0
2024-05-09,765.0,-855.0,-6.0
2024-05-10,1016.0,-838.0,-20.0
2024-05-13,1576.0,-632.0,-576.0
2024-05-14,1329.0,-996.0,-9.0
2024-05-15,1763.0,-641.0,391.0
2024-05-16,777.0,-484.0,19.0
2024-05-17,871.0,-829.0,-248.0
2024-05-20,583.0,-320.0,259.0
2024-05-21,550.0,-1139.0,-124.0
2024-05-22,710.0,-967.0,-210.0
2024-05-23,893.0,-1297.0,-148.0
2024-05-24,1565.0,-1217.0,-1.0
2024-05-28,932.0,-589.0,-225.0
2024-05-29,560.0,-1796.0,-444.0
2024-05-30,1027.0,-1065.0,409.0
2024-05-31,1383.0,-1175.0,-318.0
2024-06-03,1115.0,-547.0,374.0
2024-06-04,789.0,-1033.0,-277.0
2024-06-05,1260.0,-1040.0,397.0
2024-06-06,725.0,-685.0,217.0
2024-06-07,739.0,-1618.0,-251.0
2024-06-10,469.0,-1142.0,58.0
2024-06-11,834.0,-1316.0,-3.0
2024-06-12,1918.0,-765.0,176.0
2024-06-13,885.0,-1316.0,121.0
2024-06-14,596.0,-1363.0,44.0
2024-06-17,504.0,-925.0,236.0
2024-06-18,999.0,-561.0,-132.0
2024-06-20,370.0,-818.0,-259.0
2024-06-21,713.0,-1118.0,102.0
2024-06-24,844.0,-356.0,149.0
2024-06-25,722.0,-840.0,-338.0
2024-06-26,533.0,-1410.0,24.0
