_meta,startingCapital,1000000
_meta,exportDate,2026-07-26
Ticker,Direction,Sector,Entry Date,Entry Price,Original Qty,Current Qty,Stop Price,Initial Stop,Closed,Trim1 Date,Trim1 Price,Trim1 Qty,Trim1 Type,Trim2 Date,Trim2 Price,Trim2 Qty,Trim2 Type,Trim3 Date,Trim3 Price,Trim3 Qty,Trim3 Type
PLTR,short,Technology,2026-02-04T15:00:00.000Z,133.8,745,0,136,136,YES,2026-02-05,129.8,248,trim_1_3,2026-02-06,136,497,sell_rest,,,,
META,long,Unknown,2026-02-04T15:00:00.000Z,674.3,73,0,650,650,YES,2026-02-11,666.2,24,trim_1_3,2026-02-11,658.1,24,trim_1_3,2026-02-11,650,25,sell_rest
IGV,long,Unknown,2026-02-04T15:00:00.000Z,81.8,1218,0,81.1,81.1,YES,2026-02-05,81.57,406,trim_1_3,2026-02-05,81.33,406,trim_1_3,2026-02-05,81.1,406,sell_rest
META,long,Unknown,2026-02-04T15:00:00.000Z,656.3,77,0,645,645,YES,2026-02-11,650,77,sell_rest,,,,,,,,
TER,long,Technology,2026-02-08T15:00:00.000Z,313.98,492,0,293,293,YES,2026-02-11,311.7,492,sell_rest,,,,,,,,
METU,long,Unknown,2026-02-08T15:00:00.000Z,32.66,3154,0,31,31,YES,2026-02-11,32.66,3154,sell_rest,,,,,,,,
BE,long,Unknown,2026-02-10T15:00:00.000Z,144.95,486,0,133,133,YES,2026-02-11,138.3,486,sell_rest,,,,,,,,
FTAI,long,Unknown,2026-02-09T15:00:00.000Z,267.82,291,0,256,256,YES,2026-02-11,260.54,291,sell_rest,,,,,,,,
AA,long,Unknown,2026-02-09T15:00:00.000Z,62.75,1555,0,58,58,YES,2026-02-12,59.76,1555,sell_rest,,,,,,,,
ARKK,short,Unknown,2026-02-10T15:00:00.000Z,69.93,1128,0,73.27,73.27,YES,2026-02-13,70,1128,sell_rest,,,,,,,,
Q,long,Unknown,2026-02-10T15:00:00.000Z,113.16,871,0,109,109,YES,2026-02-12,111.2,871,sell_rest,,,,,,,,
GFS,long,Unknown,2026-02-10T15:00:00.000Z,47.6,1658,0,43.19,43.19,YES,2026-02-26,46.67,1658,sell_rest,,,,,,,,
ARKK,short,Unknown,2026-02-12T15:00:00.000Z,69.33,1446,0,70.5,70.5,YES,2026-02-13,69.72,482,trim_1_3,2026-02-13,70.11,482,trim_1_3,2026-02-13,70.5,482,sell_rest
ARKK,short,Unknown,2026-02-16T15:00:00.000Z,69.23,1451,0,70,70,YES,2026-02-25,69.49,483,trim_1_3,2026-02-25,69.74,483,trim_1_3,2026-02-25,70,485,sell_rest
PL,long,Technology,2026-02-17T15:00:00.000Z,23.87,4209,0,22.2,22.2,YES,2026-03-16,23.9,4209,sell_rest,,,,,,,,
AAOI,long,Unknown,2026-02-18T15:00:00.000Z,44.41,2262,0,41,41,YES,2026-02-20,50.35,754,trim_1_3,2026-02-20,49.82,754,trim_1_3,2026-02-26,54.87,754,sell_rest
SNDK,long,Unknown,2026-02-22T15:00:00.000Z,662,106,0,650,650,YES,2026-02-26,658,35,trim_1_3,2026-02-26,654,35,trim_1_3,2026-02-26,650,36,sell_rest
SNDK,long,Unknown,2026-02-22T15:00:00.000Z,672,120,0,650,650,YES,2026-02-24,664.67,40,trim_1_3,2026-02-24,657.33,40,trim_1_3,2026-02-24,650,40,sell_rest
ERO,long,Unknown,2026-02-22T15:00:00.000Z,31.15,1624,0,29.5,29.5,YES,2026-03-03,30.6,541,trim_1_3,2026-03-03,30.05,541,trim_1_3,2026-03-03,29.5,542,sell_rest
GLW,long,Unknown,2026-02-22T15:00:00.000Z,146.8,551,0,136,136,YES,2026-03-03,144,551,sell_rest,,,,,,,,
MOD,long,Unknown,2026-02-23T15:00:00.000Z,235.2,645,0,219,219,YES,2026-02-26,229.8,215,trim_1_3,2026-02-26,224.4,215,trim_1_3,2026-02-26,219,215,sell_rest
VRT,long,Unknown,2026-02-23T15:00:00.000Z,248.31,285,0,239,239,YES,2026-03-03,243,285,sell_rest,,,,,,,,
CCJ,long,Unknown,2026-02-23T15:00:00.000Z,119.87,506,0,114,114,YES,2026-03-03,117.91,168,trim_1_3,2026-03-03,115.96,168,trim_1_3,2026-03-03,114,170,sell_rest
ERO,long,Unknown,2026-02-24T15:00:00.000Z,34.47,2342,0,31,31,YES,2026-03-03,33.31,780,trim_1_3,2026-03-03,32.16,780,trim_1_3,2026-03-03,31,782,sell_rest
IAG,long,Unknown,2026-02-25T15:00:00.000Z,23.1,4398,0,22,22,YES,2026-03-03,22.73,1466,trim_1_3,2026-03-03,22.37,1466,trim_1_3,2026-03-03,22,1466,sell_rest
PL,long,Technology,2026-02-25T15:00:00.000Z,25.35,3258,0,23.6,23.6,YES,2026-02-27,24.77,1086,trim_1_3,2026-02-27,24.18,1086,trim_1_3,2026-02-27,23.6,1086,sell_rest
NAIL,long,Unknown,2026-02-26T15:00:00.000Z,65.74,1220,0,62,62,YES,2026-03-02,64.49,406,trim_1_3,2026-03-02,63.25,406,trim_1_3,2026-03-02,62,408,sell_rest
BE,long,Unknown,2026-03-01T15:00:00.000Z,157.8,307,0,147,147,YES,2026-03-03,151.1,307,sell_rest,,,,,,,,
FSLY,long,Unknown,2026-03-01T15:00:00.000Z,19.94,4874,0,17.5,17.5,YES,2026-03-03,19.54,4874,sell_rest,,,,,,,,
SOLS,long,Unknown,2026-03-01T15:00:00.000Z,78.52,744,0,76,76,YES,2026-03-03,77.68,248,trim_1_3,2026-03-03,76.84,248,trim_1_3,2026-03-03,76,248,sell_rest
AMD,long,Unknown,2026-03-04T15:00:00.000Z,198.9,938,0,197,197,YES,2026-03-05,198.27,312,trim_1_3,2026-03-05,197.63,312,trim_1_3,2026-03-05,197,314,sell_rest
BE,long,Unknown,2026-03-04T15:00:00.000Z,162.5,287,0,144,144,YES,2026-03-07,156.33,95,trim_1_3,2026-03-07,150.17,95,trim_1_3,2026-03-07,144,97,sell_rest
SOLS,long,Unknown,2026-03-04T15:00:00.000Z,76.9,1213,0,74,74,YES,2026-03-05,75.93,404,trim_1_3,2026-03-05,74.97,404,trim_1_3,2026-03-05,74,405,sell_rest
PLTR,short,Technology,2026-03-04T15:00:00.000Z,151.7,615,0,155,155,YES,2026-03-06,152.8,205,trim_1_3,2026-03-06,153.9,205,trim_1_3,2026-03-06,155,205,sell_rest
VRT,long,Unknown,2026-03-05T15:00:00.000Z,250.1,369,0,344,344,YES,2026-03-13,264.9,369,sell_rest,,,,,,,,
PLTR,short,Technology,2026-03-09T15:00:00.000Z,151.3,301,0,157,157,YES,2026-03-17,153.2,100,trim_1_3,2026-03-17,155.1,100,trim_1_3,2026-03-17,157,101,sell_rest
DELL,long,Unknown,2026-03-10T15:00:00.000Z,147.9,927,0,144,144,YES,2026-03-13,147.9,927,sell_rest,,,,,,,,
RCAT,long,Unknown,2026-03-13T15:00:00.000Z,16.85,2747,0,16,16,YES,2026-03-14,16.47,2747,sell_rest,,,,,,,,
AXTI,long,Technology,2026-03-12T15:00:00.000Z,48.7,940,0,45,45,YES,2026-03-17,47.47,313,trim_1_3,2026-03-17,46.23,313,trim_1_3,2026-03-17,45,314,sell_rest
ARKK,short,Unknown,2026-03-12T15:00:00.000Z,71.3,1284,0,72.8,72.8,YES,2026-03-17,71.8,428,trim_1_3,2026-03-17,72.3,428,trim_1_3,2026-03-17,72.8,428,sell_rest
DOCN,long,Unknown,2026-03-15T15:00:00.000Z,70.35,659,0,69.04,69.04,YES,2026-03-24,83.6,219,trim_1_3,2026-03-30,76.2,440,sell_rest,,,,
NVTS,long,Unknown,2026-03-15T15:00:00.000Z,11.4,2441,0,10.79,10.79,YES,2026-03-16,11.12,2441,sell_rest,,,,,,,,
VRT,long,Unknown,2026-03-16T15:00:00.000Z,265.9,241,0,258,258,YES,2026-03-19,259.5,241,sell_rest,,,,,,,,
RKLB,long,Unknown,2026-03-16T15:00:00.000Z,75.86,1214,0,71,71,YES,2026-03-19,70.4,607,trim_1_2,2026-03-19,69.2,607,sell_rest,,,,
BE,long,Unknown,2026-03-17T15:00:00.000Z,162.5,302,0,155,155,YES,2026-03-23,149.1,302,sell_rest,,,,,,,,
GLW,long,Unknown,2026-03-17T15:00:00.000Z,133.6,367,0,125,125,YES,2026-03-19,126.19,367,sell_rest,,,,,,,,
AMDL,long,Unknown,2026-03-17T15:00:00.000Z,11.84,6632,0,11.4,11.4,YES,2026-03-18,11.97,2210,trim_1_3,2026-03-19,11.84,4422,sell_rest,,,,
SOLS,long,Unknown,2026-03-17T15:00:00.000Z,75.25,643,0,72,72,YES,2026-03-19,73.69,643,sell_rest,,,,,,,,
BE,long,Unknown,2026-03-17T15:00:00.000Z,159.2,308,0,150,150,YES,2026-03-23,148,308,sell_rest,,,,,,,,
RIVN,long,Unknown,2026-03-18T15:00:00.000Z,16.6,2909,0,15.8,15.8,YES,2026-03-19,17.2,2909,sell_rest,,,,,,,,
VG,long,Unknown,2026-03-18T15:00:00.000Z,15.6,6191,0,15.1,15.1,YES,2026-03-19,16.4,3095,trim_1_2,2026-03-19,16,3096,sell_rest,,,,
BE,long,Unknown,2026-03-18T15:00:00.000Z,152.7,316,0,149,149,YES,2026-03-24,143,316,sell_rest,,,,,,,,
PL,long,Unknown,2026-03-19T15:00:00.000Z,30.85,945,0,28.5,28.5,YES,2026-03-24,32,945,sell_rest,,,,,,,,
VG,long,Unknown,2026-03-19T15:00:00.000Z,14.9,1943,0,13.8,13.8,YES,2026-03-31,14.62,1943,sell_rest,,,,,,,,
PL,long,Unknown,2026-03-19T15:00:00.000Z,31.4,922,0,29.5,29.5,YES,2026-03-24,32,922,sell_rest,,,,,,,,
ARKK,short,Unknown,2026-03-19T15:00:00.000Z,70.8,272,0,73,73,YES,2026-03-31,65.23,90,trim_1_3,2026-03-31,65.3,136,trim_1_2,2026-03-31,65.3,46,sell_rest
AGRO,long,Unknown,2026-03-19T15:00:00.000Z,14.34,1009,0,12.5,12.5,YES,2026-04-09,14.48,1009,sell_rest,,,,,,,,
PL,long,Unknown,2026-03-19T15:00:00.000Z,35.2,1645,0,31,31,YES,2026-03-20,33.78,1645,sell_rest,,,,,,,,
ARKK,short,Unknown,2026-03-19T15:00:00.000Z,70.1,413,0,73,73,YES,2026-03-31,66.57,413,sell_rest,,,,,,,,
PLTR,short,Unknown,2026-03-19T15:00:00.000Z,153.2,315,0,156,156,YES,2026-03-23,159,315,sell_rest,,,,,,,,
PL,long,Unknown,2026-03-22T15:00:00.000Z,32.29,2942,0,31.3,31.3,YES,2026-03-23,34.45,980,trim_1_3,2026-03-24,32.2,1962,sell_rest,,,,
CIEN,long,Unknown,2026-03-23T15:00:00.000Z,406.8,281,0,404,404,YES,2026-03-24,422.1,93,trim_1_3,2026-03-24,428,56,trim_1_5,2026-03-26,419,132,sell_rest
RCAT,long,Unknown,2026-03-23T15:00:00.000Z,16.3,1757,0,14.77,14.77,YES,2026-03-25,15.24,1757,sell_rest,,,,,,,,
PLTR,short,Unknown,2026-03-23T15:00:00.000Z,153.5,311,0,156,156,YES,2026-03-24,156,311,sell_rest,,,,,,,,
AXTI,short,Unknown,2026-03-23T15:00:00.000Z,68.02,421,0,69.45,69.45,YES,2026-03-26,59.8,421,sell_rest,,,,,,,,
AXTI,short,Unknown,2026-03-23T15:00:00.000Z,68.74,690,0,70,70,YES,2026-03-30,50.7,690,sell_rest,,,,,,,,
PL,long,Unknown,2026-03-24T15:00:00.000Z,31.52,1510,0,30.85,30.85,YES,2026-03-27,32.2,503,trim_1_3,2026-03-27,34.1,503,trim_1_3,2026-03-27,31.5,504,sell_rest
FCEL,long,Unknown,2026-03-25T15:00:00.000Z,7.1,12082,0,6.85,6.85,YES,2026-03-27,6.95,12082,sell_rest,,,,,,,,
PL,long,Unknown,2026-03-24T15:00:00.000Z,34.4,2215,0,31,31,YES,2026-03-27,34,738,trim_1_3,2026-03-27,32.2,738,trim_1_3,2026-03-27,31,739,sell_rest
SOXL,long,Unknown,2026-03-24T15:00:00.000Z,57.4,829,0,56.2,56.2,YES,2026-03-25,56.2,829,sell_rest,,,,,,,,
ARM,long,Unknown,2026-03-25T15:00:00.000Z,156.9,542,0,153,153,YES,2026-03-26,156.9,542,sell_rest,,,,,,,,
LXU,long,Unknown,2026-03-25T15:00:00.000Z,16.32,5223,0,15.94,15.94,YES,2026-03-27,16.37,5223,sell_rest,,,,,,,,
AXTI,short,Unknown,2026-03-25T15:00:00.000Z,64.6,733,0,66.5,66.5,YES,2026-03-31,56.2,244,trim_1_3,2026-03-31,54.2,489,sell_rest,,,,
ARKK,short,Unknown,2026-03-25T15:00:00.000Z,68.22,1390,0,69,69,YES,2026-03-31,65.53,463,trim_1_3,2026-03-31,64.5,278,trim_1_5,2026-04-09,68.9,649,sell_rest
PLTR,short,Unknown,2026-03-24T15:00:00.000Z,156,306,0,160,160,YES,2026-03-26,147.7,306,sell_rest,,,,,,,,
AXTI,short,Unknown,2026-03-26T15:00:00.000Z,63.87,1516,0,65,65,YES,2026-03-30,51.1,1516,sell_rest,,,,,,,,
AXTI,short,Unknown,2026-03-29T15:00:00.000Z,69.32,699,0,70,70,YES,2026-03-30,50.7,699,sell_rest,,,,,,,,
AXTI,short,Unknown,2026-03-29T15:00:00.000Z,67.1,578,0,69,69,YES,2026-03-30,59.66,578,sell_rest,,,,,,,,
PLTR,short,Unknown,2026-03-24T15:00:00.000Z,153.6,497,0,156,156,YES,2026-04-01,146.9,497,sell_rest,,,,,,,,
ARM,long,Unknown,2026-03-30T15:00:00.000Z,144.1,423,0,130,130,YES,2026-04-01,156.38,211,trim_1_2,2026-04-02,148.2,212,sell_rest,,,,
APA,short,Unknown,2026-03-30T15:00:00.000Z,43.5,1169,0,44.6,44.6,YES,2026-04-01,41.1,1169,sell_rest,,,,,,,,
TQQQ,long,Unknown,2026-03-30T15:00:00.000Z,39.9,2549,0,38.9,38.9,YES,2026-03-31,40.93,1274,trim_1_2,2026-03-31,41.09,1275,sell_rest,,,,
