y,cyc,A,B,S
1972,0,-0.06660781229818025,-0.08671338246066695,-0.06590415663473348
1973,1,-0.2878239267147802,-0.20122578983253736,-0.20506425126280547
1974,2,0.186925852768431,0.28844079561741465,0.5016564656561702
1975,3,0.15150825566668513,0.18378934174665584,0.25744601948094537
1976,0,-0.10998821905285616,-0.025412174160653778,-0.035422817287826036
1977,1,0.021522797787954184,0.04575807744933846,-0.012507743551706474
1978,2,0.06414495866103764,0.05307175498843075,-0.009421146360998889
1979,3,0.29772732995458706,0.11377594036918182,0.052321300966408746
1980,0,-0.05017896806064659,0.016816595944193713,0.032093208122361716
1981,1,0.14479159954776266,-0.11747179304658684,-0.0638025376142568
1982,2,0.19892348354067368,0.2374695347978557,0.37443631804435284
1983,3,0.045808629536002066,-0.06391302993896297,-0.07605090643521328
1984,0,0.13115421844038178,0.14890433079384602,0.16893450603492455
1985,1,0.2818007386278909,0.30966427158461807,0.355378972339107
1986,2,0.011210437854738187,0.23677785283016073,0.30136982901142506
1987,3,0.11259066027324915,0.06940371456500483,-0.16445174221880043
1988,0,0.22896602361438378,0.1394682640587439,0.17171495786374713
1989,1,-0.08601890028068404,0.05375145276009663,0.024710045168834238
1990,2,0.251428044834066,0.23092966891776312,0.19997463166986984
1991,3,0.07306216593551706,0.04298274304764327,0.048663930748623185
1992,0,0.10263853640630227,0.06571259320945444,0.08225032917329833
1993,1,-0.004120042408254143,-0.05293118048769441,-0.036875671632499274
1994,2,0.2707184145356081,0.16295201824044492,0.17977652254787357
1995,3,0.2358268825965384,0.15689301765801011,0.16186488159565204
1996,0,0.32013329379076216,0.257712022512681,0.28452428266111074
1997,1,0.18911309189684933,0.20751017328449084,0.18675751529839735
1998,2,0.21973470112805482,0.23489563789701262,0.391650301150658
1999,3,0.05452088756079099,0.07420315838409453,0.13391687712560363
2000,0,-0.22073927616815148,-0.12981804632869165,-0.1389122998953899
2001,1,-0.17437389677014337,-0.10649382323754442,-0.06730539803347557
2002,2,0.14902942107982864,0.08162401908391859,0.14929654192649844
2003,3,0.08540227977391401,0.0772600562596335,0.12042583984334265
2004,0,0.07447631864565185,0.05379868003262667,0.05287667349066494
2005,1,0.13715032092054558,0.05607098744444583,0.03546099431930694
2006,2,0.06709382979239908,0.11084872067183693,0.14129594313238925
2007,3,-0.3732889504556429,-0.15144119108466847,-0.17261352797586627
2008,0,0.04051702709420835,-0.04861842187957843,-0.20820632789859417
2009,1,0.14592353408728798,-0.011669649325264486,0.0008350588648344814
2010,2,0.0371407459301627,0.11504754319041988,0.1521496596697891
2011,3,0.0929603590087078,0.12085068861690451,0.24224232783691346
2012,0,0.23950039700476133,0.1312491679006178,0.11801395084466137
2013,1,0.1478187263064965,0.11273016289877136,0.15647786458333335
2014,2,0.044833797575859924,0.022450105566276912,0.060092731937886334
2015,3,-0.005616718932617393,-0.002466643514083988,0.09098572944440808
2016,0,0.21257632960193007,0.14760003491488916,0.12132609978790754
2017,1,0.08617562040929916,0.05712651486375986,0.07812592308574451
2018,2,0.11661619111910948,0.08172617250962988,0.013588225713722979
2019,3,0.11995622553726304,0.01088396069976727,0.05443075897032568
2020,0,0.38330324051043485,0.29824423989745963,0.2711488221522085
2021,1,-0.188085901397269,-0.17952954005991872,-0.13120378769183938
2022,2,0.1448938672529274,0.15411420090403127,0.20985854441097795
2023,3,0.3541630004141889,0.2919468836590551,0.27672382157357767
2024,0,0.1752675737045697,0.08311520857045784,0.08691923719071593
