bucket,depth,p2t,t2r,uw,peak,trough_date
5–10%,7.5346234729209645,13,42,55,1986-07-02,1986-07-15
0–5%,1.8870899019768905,6,2,8,1986-08-27,1986-09-02
5–10%,9.42362919922527,25,64,89,1986-09-04,1986-09-29
0–5%,4.657481035848299,29,7,36,1986-12-02,1986-12-31
0–5%,0.1344508652900367,1,1,2,1987-01-12,1987-01-13
0–5%,0.5569169155695053,2,1,3,1987-01-19,1987-01-21
0–5%,1.5698653766042403,4,2,6,1987-01-22,1987-01-26
0–5%,0.47930550235048,2,3,5,1987-01-28,1987-01-30
0–5%,0.1664033106686058,1,1,2,1987-02-02,1987-02-03
0–5%,2.1660251310885004,5,7,12,1987-02-05,1987-02-10
0–5%,0.02451112439465497,1,1,2,1987-02-17,1987-02-18
0–5%,1.1170649436530344,4,9,13,1987-02-19,1987-02-23
0–5%,0.811950677563511,3,1,4,1987-03-06,1987-03-09
0–5%,0.18909022232947992,1,1,2,1987-03-10,1987-03-11
0–5%,1.0267118404786446,4,1,5,1987-03-12,1987-03-16
0–5%,4.124122078400349,6,7,13,1987-03-24,1987-03-30
5–10%,7.862235400631756,44,26,70,1987-04-06,1987-05-20
0–5%,2.166959982993333,9,13,22,1987-06-22,1987-07-01
0–5%,0.08368071783695363,1,1,2,1987-07-14,1987-07-15
0–5%,2.155185752319566,6,6,12,1987-07-17,1987-07-23
0–5%,0.7625659473593283,4,2,6,1987-07-31,1987-08-04
0–5%,0.2819944084521575,1,1,2,1987-08-11,1987-08-12
0–5%,1.6136243821820329,5,2,7,1987-08-13,1987-08-18
0–5%,0.7651108576711585,3,1,4,1987-08-21,1987-08-24
30–·%,33.50951525557261,101,600,701,1987-08-25,1987-12-04
0–5%,0.673250884959542,1,6,7,1989-07-31,1989-08-01
0–5%,2.501356613368988,14,3,17,1989-08-07,1989-08-21
0–5%,0.2844788436657364,1,3,4,1989-08-24,1989-08-25
0–5%,0.6390411608970359,1,3,4,1989-08-28,1989-08-29
0–5%,2.9881567850988167,13,19,32,1989-09-01,1989-09-14
10–15%,10.23345693603166,113,119,232,1989-10-09,1990-01-30
0–5%,4.175284864651552,22,20,42,1990-06-04,1990-06-26
15–20%,19.918693134699016,87,125,212,1990-07-16,1990-10-11
0–5%,1.3007392379470573,1,1,2,1991-02-13,1991-02-14
0–5%,1.7813196970433043,7,3,10,1991-02-19,1991-02-26
0–5%,0.3077211770672772,3,1,4,1991-03-01,1991-03-04
0–5%,2.6916581587333677,16,12,28,1991-03-05,1991-03-21
0–5%,0.14756193902338843,1,1,2,1991-04-02,1991-04-03
0–5%,1.743159098585112,6,2,8,1991-04-04,1991-04-10
5–10%,5.603791573506445,28,83,111,1991-04-17,1991-05-15
0–5%,3.6224448500746464,13,3,16,1991-08-06,1991-08-19
0–5%,0.2816084002656205,4,1,5,1991-08-23,1991-08-27
5–10%,5.00202352832555,42,34,76,1991-08-28,1991-10-09
5–10%,5.583654723566767,16,25,41,1991-11-13,1991-11-29
0–5%,1.1923498935625387,10,1,11,1992-01-03,1992-01-13
5–10%,6.2433133777557215,84,112,196,1992-01-15,1992-04-08
0–5%,3.3804594888102835,21,21,42,1992-08-03,1992-08-24
5–10%,5.31661907392097,25,42,67,1992-09-14,1992-10-09
0–5%,0.3586074771322001,3,1,4,1992-11-20,1992-11-23
0–5%,0.33847025256046326,2,2,4,1992-11-30,1992-12-02
0–5%,1.2517451985042838,8,2,10,1992-12-08,1992-12-16
0–5%,2.7714854559825364,21,24,45,1992-12-18,1993-01-08
0–5%,3.9282862705789623,14,18,32,1993-02-04,1993-02-18
0–5%,0.0681747849000991,1,1,2,1993-03-08,1993-03-09
0–5%,4.994188130946919,47,115,162,1993-03-10,1993-04-26
0–5%,0.26290596777357456,4,1,5,1993-08-19,1993-08-23
0–5%,0.10845045781993079,1,3,4,1993-08-26,1993-08-27
0–5%,2.2888052048152363,21,23,44,1993-08-31,1993-09-21
0–5%,2.5580425485889235,20,53,73,1993-10-15,1993-11-04
0–5%,1.1678770058791699,6,7,13,1993-12-28,1994-01-03
0–5%,0.9152640996678563,15,2,17,1994-01-10,1994-01-25
0–5%,0.41319538524982047,1,1,2,1994-01-31,1994-02-01
5–10%,8.937756550262577,61,316,377,1994-02-02,1994-04-04
0–5%,0.6697992646271245,1,6,7,1995-02-16,1995-02-17
0–5%,1.2271804335370673,11,3,14,1995-02-24,1995-03-07
0–5%,0.20491585051594097,1,1,2,1995-03-14,1995-03-15
0–5%,0.21566640315777708,1,3,4,1995-03-20,1995-03-21
0–5%,0.6330626076692436,3,4,7,1995-03-28,1995-03-31
0–5%,0.29190961870995125,1,1,2,1995-04-10,1995-04-11
0–5%,0.8463754031789561,6,5,11,1995-04-13,1995-04-19
0–5%,0.1540367408091492,1,2,3,1995-04-24,1995-04-25
0–5%,0.08743023990606114,3,1,4,1995-04-28,1995-05-01
0–5%,0.08068216234761172,1,3,4,1995-05-04,1995-05-05
0–5%,0.07634636179998378,1,1,2,1995-05-08,1995-05-09
0–5%,1.7039322892141273,3,4,7,1995-05-16,1995-05-19
0–5%,0.9515462062967828,6,1,7,1995-05-24,1995-05-30
0–5%,0.18369238161702883,1,3,4,1995-06-01,1995-06-02
0–5%,1.4301668210778717,4,4,8,1995-06-05,1995-06-09
0–5%,0.22742934980460872,2,1,3,1995-06-19,1995-06-21
0–5%,1.5678615300422583,5,9,14,1995-06-22,1995-06-27
0–5%,0.43252268238331837,1,1,2,1995-07-10,1995-07-11
0–5%,0.19785835143716346,1,3,4,1995-07-13,1995-07-14
0–5%,2.0862935110879,2,8,10,1995-07-17,1995-07-19
0–5%,1.7886815533049605,15,25,40,1995-07-27,1995-08-11
0–5%,0.14392588224934055,4,1,5,1995-09-14,1995-09-18
0–5%,1.5764268268834702,20,7,27,1995-09-20,1995-10-10
0–5%,2.3584276873189647,7,13,20,1995-10-19,1995-10-26
0–5%,0.6691891705037811,5,1,6,1995-11-09,1995-11-14
0–5%,0.5366093454061693,3,1,4,1995-11-17,1995-11-20
0–5%,0.30653835969743914,1,5,6,1995-11-21,1995-11-22
0–5%,0.37357966501981865,1,4,5,1995-11-29,1995-11-30
0–5%,0.6465880571741356,1,6,7,1995-12-06,1995-12-07
0–5%,3.7333754574642275,28,19,47,1995-12-13,1996-01-10
0–5%,0.4103616557059375,1,3,4,1996-02-01,1996-02-02
0–5%,4.576312491135859,59,32,91,1996-02-12,1996-04-11
0–5%,0.11268029259462464,2,1,3,1996-05-14,1996-05-16
0–5%,0.05793874088870776,1,1,2,1996-05-20,1996-05-21
0–5%,0.3567086717840229,1,1,2,1996-05-22,1996-05-23
5–10%,7.643215959256999,61,51,112,1996-05-24,1996-07-24
0–5%,0.36697123268210063,2,2,4,1996-09-16,1996-09-18
0–5%,0.20669314073008538,4,6,10,1996-09-20,1996-09-24
0–5%,0.1772280588813624,1,1,2,1996-10-02,1996-10-03
0–5%,1.2412263159452208,3,4,7,1996-10-07,1996-10-10
0–5%,0.13787001924818743,1,1,2,1996-10-14,1996-10-15
0–5%,1.9076555835335074,10,8,18,1996-10-18,1996-10-28
0–5%,0.31562949349001057,1,2,3,1996-11-11,1996-11-12
0–5%,0.08133938747717506,3,1,4,1996-11-15,1996-11-18
0–5%,0.1613028009061046,1,1,2,1996-11-20,1996-11-21
0–5%,4.762036832489736,21,25,46,1996-11-25,1996-12-16
0–5%,0.21590057697855602,1,1,2,1997-01-14,1997-01-15
0–5%,2.6976789825357006,5,7,12,1997-01-22,1997-01-27
0–5%,1.391174053276889,1,2,3,1997-02-04,1997-02-05
0–5%,0.5230767637143363,3,1,4,1997-02-07,1997-02-10
0–5%,0.4114245553614282,1,4,5,1997-02-13,1997-02-14
5–10%,9.633825690635511,52,24,76,1997-02-18,1997-04-11
0–5%,1.7668505339556329,2,5,7,1997-05-05,1997-05-07
0–5%,0.540788435278039,1,2,3,1997-05-12,1997-05-13
0–5%,1.440823491763643,1,7,8,1997-05-15,1997-05-16
0–5%,1.1298015055544064,8,2,10,1997-05-27,1997-06-04
0–5%,0.5992694096706996,1,1,2,1997-06-17,1997-06-18
0–5%,2.2343403601977396,3,9,12,1997-06-20,1997-06-23
0–5%,0.5147636425312241,4,1,5,1997-07-03,1997-07-07
0–5%,1.2201384460034048,1,6,7,1997-07-08,1997-07-09
0–5%,2.5251202485537583,5,3,8,1997-07-16,1997-07-21
0–5%,0.40944120343699986,4,1,5,1997-07-24,1997-07-28
0–5%,0.7513263958775607,1,5,6,1997-07-31,1997-08-01
5–10%,6.336433288591248,23,34,57,1997-08-06,1997-08-29
10–15%,10.795223920774987,20,39,59,1997-10-07,1997-10-27
5–10%,5.70243414132221,35,20,55,1997-12-05,1998-01-09
0–5%,0.5286670579232267,1,3,4,1998-01-29,1998-01-30
0–5%,0.3337020861305495,1,1,2,1998-02-04,1998-02-05
0–5%,0.16988638572908998,3,1,4,1998-02-06,1998-02-09
0–5%,0.3954525489719307,1,5,6,1998-02-12,1998-02-13
