report_date,open_interest_all,asset_mgr_positions_long,asset_mgr_positions_short,lev_money_positions_long,lev_money_positions_short,dealer_positions_long_all,dealer_positions_short_all
2012-01-10,144035,9229,1712,11868,33669,49544,36604
2012-01-17,154301,8643,2128,8660,34586,50658,32503
2012-01-24,151622,9515,1991,12006,45143,60049,33697
2012-01-31,171354,11592,2415,8474,49752,61568,27293
2012-02-07,191134,12994,2844,9803,59142,72794,30731
2012-02-14,209554,13228,2105,7812,67498,94820,43192
2012-02-21,204578,16086,1983,11891,71221,105180,51259
2012-02-28,236528,27283,4724,10482,85847,124908,57423
2012-03-06,271074,31158,5002,6466,96768,144462,63189
2012-03-13,308953,39234,5522,9968,104097,147154,64098
2012-03-20,363883,44295,8322,7325,118684,175665,74767
2012-03-27,304339,31332,6341,6991,101330,154422,64041
2012-04-03,310512,35388,5899,6368,96683,143526,61232
2012-04-10,322529,37677,4521,2569,100848,148479,66984
2012-04-17,340437,38362,3679,5095,102910,139222,59960
2012-04-24,300629,35515,3707,7409,106794,141324,57371
2012-05-01,318793,41226,5244,10149,118469,147405,58775
2012-05-08,326785,38619,4266,6988,109962,143868,62185
2012-05-15,326566,36675,3964,6651,106805,137384,58557
2012-05-22,287635,34151,3796,11239,98019,124558,61977
2012-05-29,272588,33946,3350,17083,87548,105595,53188
2012-06-05,277015,25671,4142,18458,82735,114695,54134
2012-06-12,307504,35998,3918,16834,91473,122767,57416
2012-06-19,343374,43602,5489,25035,107323,122283,54879
2012-06-26,309767,40113,6296,23664,104312,132479,56365
2012-07-03,334634,42930,7644,24404,108283,132525,51606
2012-07-10,334343,42288,8496,23934,111806,127820,47334
2012-07-17,350768,39844,8719,29119,117503,124268,37972
2012-07-24,324056,40138,8376,18789,121314,127515,34917
2012-07-31,312880,41178,8050,20973,114871,121200,35157
2012-08-07,335902,41274,8864,34087,118228,115656,32097
2012-08-14,364829,42168,9860,32358,129574,129946,33637
2012-08-21,403608,46157,10548,34091,136665,131729,33476
2012-08-28,359935,44586,11509,21331,140609,141208,28492
2012-09-04,367377,42529,11377,20619,141433,140237,27766
2012-09-11,406958,41869,13156,25097,149368,144579,29175
2012-09-18,431265,33258,13006,31626,152016,139067,22895
2012-09-25,393602,39038,12181,29518,155653,143289,28004
2012-10-02,390364,38104,12724,24936,148378,143057,28062
2012-10-09,404089,38603,15911,27645,141971,134895,28252
2012-10-16,424977,34131,15482,40388,150302,133058,27391
2012-10-23,376801,34569,14084,30519,145471,124649,23066
2012-10-30,361488,31800,13371,29393,130142,117323,25420
2012-11-06,384223,35598,18730,28378,130573,124336,32065
2012-11-13,382416,36170,19464,32133,125292,116615,31962
2012-11-20,418381,36510,21455,49923,132207,114205,32132
2012-11-27,375098,35817,22199,30126,132397,123871,20010
2012-12-04,396131,29686,19342,31069,140915,124401,15358
2012-12-11,409743,29338,18189,38289,145173,119580,20883
2012-12-18,398243,24954,18482,39757,131453,109702,25563
2012-12-24,330194,28250,15170,28639,122774,99835,25353
2012-12-31,326066,22437,9260,29845,115540,95442,29529
2013-01-08,410526,33371,14552,45141,155752,119869,29334
2013-01-15,462170,40524,17596,61137,172415,119503,30627
2013-01-22,425350,43260,17897,67669,176024,106853,18062
2013-01-29,424170,38659,15895,60416,173412,111562,21008
2013-02-05,429820,39867,15055,54159,169286,109796,21779
2013-02-12,445319,41750,16695,59968,167672,105877,21662
2013-02-19,425770,52905,17809,59780,183514,114354,27832
2013-02-26,409106,48623,15212,46681,176017,125179,35691
2013-03-05,413877,52485,14086,58143,175152,124942,45623
2013-03-12,434750,60570,16145,67395,176551,122108,51245
2013-03-19,463432,59368,16005,63145,164029,124046,57793
2013-03-26,409747,67185,15080,61509,163934,105544,41309
2013-04-02,419124,68783,15261,60682,172207,109497,38912
2013-04-09,438715,71206,16900,56308,172953,115243,41864
2013-04-16,455094,58132,17321,51484,161788,123796,43765
2013-04-23,381591,47647,18020,45518,130320,104082,43832
2013-04-30,388083,54136,16172,41047,136501,104425,40838
2013-05-07,405092,64672,15595,45114,147557,100705,40693
2013-05-14,420043,67023,17177,43478,138589,95085,37650
2013-05-21,434988,64341,17924,43562,134234,91180,33064
2013-05-28,389387,63636,17638,36027,127101,81690,23153
2013-06-04,372793,54584,21066,32109,133768,84725,15794
2013-06-11,367802,47692,21025,31437,123251,86893,19192
2013-06-18,367704,42235,17088,36355,100668,71730,27665
2013-06-25,293710,35624,14284,26795,76599,60716,29810
2013-07-02,301348,46345,19967,27265,91327,72420,25849
2013-07-09,335927,53507,21248,36266,111297,82836,25244
2013-07-16,356401,55635,22555,32365,116007,88952,23255
2013-07-23,359429,57693,25081,35751,143283,103543,13776
2013-07-30,362693,53980,22798,42075,156231,111439,14116
2013-08-06,402545,53310,22938,49965,196866,134649,7093
2013-08-13,441586,49683,21123,56027,224048,150593,6403
2013-08-20,444632,51110,24812,48239,214560,150131,6670
2013-08-27,382955,49103,22549,32262,190330,139338,5901
2013-09-03,355427,39425,17190,30605,182053,133412,4432
2013-09-10,384595,46351,18494,32213,181130,139068,11703
2013-09-17,427065,49320,20728,30885,181538,138374,8593
2013-09-24,368232,53642,19596,33327,163413,116485,12574
2013-10-01,356219,44746,20953,28445,149172,111104,10091
2013-10-08,376488,38555,13615,34474,141110,106414,23624
2013-10-15,362200,33935,15096,22858,118916,111381,29525
2013-10-22,350915,42327,17356,41081,107699,93665,35309
2013-10-29,362490,55452,19589,42189,122266,92614,34627
2013-11-05,389521,64485,20887,53525,136711,86874,36445
2013-11-12,407724,66269,22631,53271,134767,86294,34774
2013-11-19,439641,69310,23686,64458,149716,93011,35668
2013-11-26,413869,63170,23581,55768,145930,84859,21656
2013-12-03,381272,59751,25856,41427,133097,84494,20743
2013-12-10,387342,59269,23772,51254,149711,90019,21904
2013-12-17,378966,51120,22640,38557,139768,77248,22128
2013-12-24,354273,47969,23884,55618,130583,71981,31123
2013-12-31,349696,51525,24528,57256,131803,73819,28233
2014-01-07,359668,48073,25032,63271,139849,83059,27873
2014-01-14,397328,52556,26844,65869,157286,95883,27541
2014-01-21,416956,57531,26800,71082,158866,96529,27625
2014-01-28,376043,42946,21141,55983,144172,94932,25094
2014-02-04,384117,36943,14048,49372,128349,86998,63543
2014-02-11,378851,27679,14077,48477,94340,77858,75587
